定式ID,匹配步数,落子前缀
kj_67257,7,pd nc qf tt oc nd jd
kj_51405,10,pc pe qe qf qd pf nc pj tt me
kj_61474,8,pc pe qe qf qd pf nc pj
kj_03907,6,pc pe oe of od pg
kj_73967,7,pd nc qf tt lc tt nd
kj_98295,6,pd nc pf pb qc ld
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_58046,7,pd tt nc qf tt rd qc
kj_92105,6,pd tt nc qf pg pf
kj_68721,6,pd nc qf tt qi tt
kj_54125,6,pd nc qf pb lc qc
kj_70870,7,pc qe ph od pd pe oe
kj_01705,6,pd tt nc qf ph qh
kj_57643,6,pc pe qe qf qd pf
kj_50823,7,pd nc oc nd pf kc kf
kj_61807,6,pd nc oc nd pf lc
kj_88206,9,pd nc qf qc pc pb ob qb oc
kj_57489,9,pc pe qe qf qd pf nc pj pk
kj_92647,8,pc pe qe qf qd pf nc qj
kj_16398,7,pd nc qf tt kd kc lc
kj_37391,15,pd nc pf qc pc pb ob qb oc re rf qe qf pe oe
kj_30758,8,pc qe tt qh qd pe nc tt
kj_94660,6,pc tt qe kc tt oc
kj_58942,8,pc qe qi od oc nd mc tt
kj_56514,8,pc qe pg tt pe qd pd qg
kj_77114,8,pd tt nc re rd qe qd qh
kj_68818,6,pd tt mc qh qf tt
kj_54125,6,pd nc qf pb lc qc
kj_93978,7,pc tt qf tt lc tt ke
kj_32660,11,pc qe nd tt kc qc qb pb ob pd pa
kj_53267,6,pd kc tt nc oc nd
kj_53303,6,pc pe qe qf qd pg
kj_56142,6,pd nc oc nd pf kd
kj_56142,6,pd nc oc nd pf kd
kj_46382,12,pc pe qe qf qd pf nc tt rh pd qc qh
kj_29298,6,pc pe qg qc mc pd
kj_97030,6,pd nc qf tt jc pb
kj_27854,9,pd nc kd pf nd qc oc qd qh
kj_13318,7,pd nc qf pb mc md lc
kj_20885,7,pc tt qe oc pd kc tt
kj_48541,6,pd nc qf jc tt pg
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_77099,6,pd tt nc tt qe lc
kj_47579,6,pd tt mc tt qe tt
kj_56476,6,pc pe nd qc qb qd
kj_43452,6,pc tt qe tt lc tt
kj_28291,24,pd tt nc re rd qd qe qc rc pe qf pc od rf rb qg pf og pg ph of nf oe rh
kj_53303,6,pc pe qe qf qd pg
kj_92647,8,pc pe qe qf qd pf nc qj
kj_18970,7,pd tt nc rd qf rf qg
kj_02645,19,pc qe tt nd tt pd oc nc od oe rd re nb qc qb mb qd pe rc
kj_19247,7,pc pe qg qc qb qd mc
kj_93345,7,pd nc oc nd pf tt le
kj_54310,6,pc pe oe of od pf
kj_34191,7,pd nc qf tt oc nd og
kj_71089,7,pd nc oc nd qf tt jd
kj_86083,6,pd nc qf pb tt qj
kj_58702,8,pc pe qe qf qd tt pf tt
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_07334,7,pd nc qf pb qc ld tt
kj_74665,7,pd nc oc nd qf tt jc
kj_41837,10,pd tt nc rd qd re rc rb qc qh
kj_93524,6,pd nc qf pb tt qc
kj_98558,6,pd nc qf pb qc kc
kj_71814,9,pc qe qh od oc nd nc md lc
kj_34789,7,pd tt nc qi qg oi tt
kj_96243,6,pd nc tt qf oe qc
kj_47675,7,pd tt nc tt qe tt kc
kj_75682,7,pc pe qe pd qd oc qf
kj_32179,6,pd nc qf pb qi tt
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_82773,8,pc qe od pg tt mc qd pe
kj_23119,7,pd nc lc ne oc ob pb
kj_53303,6,pc pe qe qf qd pg
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_65123,7,pd tt nc mc md lc nb
kj_80095,11,pc pe qe qf qd pf nc tt ph tt nh
kj_38116,8,pc tt qf nc tt ne pe tt
kj_22008,7,pd ke ld qc pc qd qf
kj_97242,6,pd tt nc re qe rd
kj_60185,10,pc qe tt nd pe pf oe qd oc qc
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_53303,6,pc pe qe qf qd pg
kj_53303,6,pc pe qe qf qd pg
kj_30151,10,pc pe qe qf qd pf nc tt me tt
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_75941,9,pc tt qe pb ob oc od nc nb
kj_32550,8,pd tt nc qf qe pf pi ne
kj_71774,10,pc qe qi od oc nd nc md lc qk
kj_98558,6,pd nc qf pb qc kc
kj_46079,11,pd nc pf qc pc pb qd rb rc qb lc
kj_92493,7,pc tt qe pf qf ph tt
kj_41962,6,pc tt pe tt pi oj
kj_74541,8,pd nc qf tt oc nd jc hc
kj_88653,8,pc pe qe pd qd oc qc pf
kj_23359,7,pd nc qf pb tt qc tt
kj_67169,7,pd nc oc nd pf kd tt
kj_77211,14,pd nc qf tt lc pc qc qb oc pb od ob nd qd
kj_54125,6,pd nc qf pb lc qc
kj_60967,22,pc qe tt od oc nd mc md lc ld kd ke tt nc nb ob mb qc pb tt kc kf
kj_20573,10,pd nc qf tt oc nd jd pe qe qc
kj_03907,6,pc pe oe of od pg
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_79116,6,pd nc lc ic nd tt
kj_39547,8,pc pe tt qc qb qd nc rb
kj_13318,7,pd nc qf pb mc md lc
kj_56126,8,pd nc oc nd pf kd nb mb
kj_39145,7,pd nc qg tt oc nd jc
kj_36744,6,pc tt qf tt mc kd
kj_32515,7,pc tt pe tt kc tt ke
kj_91560,6,pd nc oc nd pf ke
kj_77679,8,pc tt qe pf tt qf pe of
kj_23359,7,pd nc qf pb tt qc tt
kj_92999,7,pd nc kd tt oc nd pf
kj_98295,6,pd nc pf pb qc ld
kj_13318,7,pd nc qf pb mc md lc
kj_54125,6,pd nc qf pb lc qc
kj_98558,6,pd nc qf pb qc kc
kj_80369,6,pd nc pf kd tt qh
kj_13318,7,pd nc qf pb mc md lc
kj_36757,7,pd nc oc nd pf kc ie
kj_29688,6,pc qe tt mc od jd
kj_91735,9,pd tt nc qf re rf qe of tt
kj_32179,6,pd nc qf pb qi tt
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_29298,6,pc pe qg qc mc pd
kj_29685,7,pc qe tt mc od jd tt
kj_61806,6,pd nc qf tt kd tt
kj_96241,8,pd tt nc qf ph qd qc rc
kj_43452,6,pc tt qe tt lc tt
kj_07334,7,pd nc qf pb qc ld tt
kj_19247,7,pc pe qg qc qb qd mc
kj_48019,10,pd nc kd qf nd md ne oc pc me
kj_88954,7,pd tt mc qd qc qe rc
kj_54125,6,pd nc qf pb lc qc
kj_81964,6,pd nc lc tt qf tt
kj_39717,6,pd nc qf pb qc ld
kj_97690,9,pd tt nc qd qe pe qc rd re
kj_92593,7,pd nc pf qh qj oh me
kj_18716,11,pc pe qe pd qd oc qf pb qc nd tt
kj_81986,8,pc qe tt od oc nd mc tt
kj_94293,6,pd nc pf tt lc ld
kj_14517,12,pd nc tt pf nd md ne oc pe qb qf tt
kj_65891,8,pc pe qe qf qd pf nc me
kj_53996,6,pd nc oc nd pf jd
kj_31919,13,pd qc pc qd qf rf tt qg pf rh pg ph oh
kj_84939,7,pd nc tt qf oe qc md
kj_50897,7,pd nc lc qc qd pc od
kj_22008,7,pd ke ld qc pc qd qf
kj_32037,6,pd nc qf pb tt kc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_91262,8,pc tt qe oc od nc pb nd
