定式ID,匹配步数,落子前缀
kj_29298,6,pc pe qg qc mc pd
kj_96702,7,pd nc qf tt lc pb qc
kj_16398,7,pd nc qf tt kd kc lc
kj_54125,6,pd nc qf pb lc qc
kj_23197,9,pc qe tt qi tt od oc nd mc
kj_49537,7,pc qe nd ph tt lc ic
kj_40455,15,pd nc pf qc pc pb ob qb oc re rf qe qf nb oa
kj_70054,6,pd tt nc md nd me
kj_93982,6,pc tt qf tt lc tt
kj_40112,7,pd nc pf kd tt qh tt
kj_40455,15,pd nc pf qc pc pb ob qb oc re rf qe qf nb oa
kj_75682,7,pc pe qe pd qd oc qf
kj_09116,7,pd nc ob qf qe pf ne
kj_75682,7,pc pe qe pd qd oc qf
kj_07334,7,pd nc qf pb qc ld tt
kj_98558,6,pd nc qf pb qc kc
kj_88601,18,pd nc tt pf of og oe qc pc qd qe pe re qf qb od oc nd
kj_53260,7,pd nc qf tt oc tt nd
kj_53303,6,pc pe qe qf qd pg
kj_74844,13,pd nc pf qc pc pb ob qb oc re rf qe qf
kj_77251,12,pd nc qf ne tt qc pc pb qd rb rc qb
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_54879,7,pc qe od qh pi qi pk
kj_44174,7,pc qe od tt pf qg lc
kj_19247,7,pc pe qg qc qb qd mc
kj_23333,8,pc pe qe qf qd pg qh rg
kj_88239,7,pd nc jc qf pf pg of
kj_22854,6,pd nc kd ic nd md
kj_28445,10,pc qe qi od oc nd mc qk oi tt
kj_61474,8,pc pe qe qf qd pf nc pj
kj_88653,8,pc pe qe pd qd oc qc pf
kj_61474,8,pc pe qe qf qd pf nc pj
kj_78676,10,pd tt nc re qe rd rf qf qg pf
kj_51405,10,pc pe qe qf qd pf nc pj tt me
kj_54559,7,pd tt nc rd rf qc pc
kj_29688,6,pc qe tt mc od jd
kj_59329,7,pd nc qf ne oc nb tt
kj_04554,6,pd tt nc tt qh oi
kj_76276,7,pd tt nc tt qh qf pf
kj_98558,6,pd nc qf pb qc kc
kj_41196,6,pd nc qf tt lc md
kj_56782,7,pd nc qf tt lc tt oc
kj_54125,6,pd nc qf pb lc qc
kj_96551,10,pd nc lc qf pf pg of qc qe pc
kj_53303,6,pc pe qe qf qd pg
kj_95572,9,pd nc lc pf nd qc qd pc od
kj_18897,7,pd tt nc tt pi tt kc
kj_29298,6,pc pe qg qc mc pd
kj_06528,8,pd nc qg qc pc qd pe qe
kj_95601,7,pc tt qf tt lc je le
kj_23359,7,pd nc qf pb tt qc tt
kj_93524,6,pd nc qf pb tt qc
kj_89447,7,pd nc qf pb tt qh qc
kj_84970,11,pd nc qf ne pb pg pf og of nf ng
kj_16971,11,pc pe qe qf qd pg tt nd tt ob pb
kj_85773,8,pc pe tt qc qb qd mc tt
kj_98558,6,pd nc qf pb qc kc
kj_34772,7,pd nc lc tt qf tt oc
kj_82433,9,pc pe qe qf qd pf nc tt mf
kj_50057,6,pd nc qf tt qj pj
kj_27985,6,pc qe tt mc od tt
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_33171,11,pc pe qe pd qd oc pb pf qf pg qg
kj_62408,7,pc tt qe oc od nc nd
kj_27078,7,pd nc qf ne pb tt kd
kj_64357,7,pd tt nc rd rf qe qg
kj_98558,6,pd nc qf pb qc kc
kj_53303,6,pc pe qe qf qd pg
kj_80369,6,pd nc pf kd tt qh
kj_76708,6,pd tt nc qg tt md
kj_63729,6,pd nc lc ne pf qh
kj_53303,6,pc pe qe qf qd pg
kj_10238,8,pc tt qf tt qj pj qi pi
kj_74541,8,pd nc qf tt oc nd jc hc
kj_44651,7,pc pe qe qf qd pg mc
kj_93895,7,pd nc qf pb md nd mc
kj_37574,7,pd nc qf tt lc pb nd
kj_87778,6,pd tt nc tt qe qc
kj_07859,10,pd nc lc qc qd pc od rc nd nb
kj_75682,7,pc pe qe pd qd oc qf
kj_09440,7,pc qe tt mc od jc tt
kj_53736,6,pd nc pf qh lc ld
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_52361,6,pd tt nc qf qd of
kj_86244,11,pc pe qe qf qd pf nc pj rh rg ph
kj_61474,8,pc pe qe qf qd pf nc pj
kj_53263,7,pd kc tt nc oc nd pf
kj_72225,6,pc qe od tt kc tt
kj_07859,10,pd nc lc qc qd pc od rc nd nb
kj_17128,8,pd tt nc pi tt qf qe pf
kj_65022,7,pd nc qf ne tt qc pc
kj_19247,7,pc pe qg qc qb qd mc
kj_47273,13,pd nc kd qc pc qd pe pb ob qb oc qf hd
kj_32454,9,pd nc qf ne tt qc pc pb nf
kj_56142,6,pd nc oc nd pf kd
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_56956,7,pc qe qi od oc nd mc
kj_98884,10,pc pe qe qf qd pf nc pj pk qj
kj_56142,6,pd nc oc nd pf kd
kj_53303,6,pc pe qe qf qd pg
