定式ID,匹配步数,落子前缀
kj_98270,8,pd tt nc qf re rf qe of
kj_67169,7,pd nc oc nd pf kd tt
kj_80669,13,pc qe tt od oc nd mc md lc ld kc kd jc
kj_41197,9,pd tt nc mc mb lb lc md kb
kj_10001,6,pd nc oc nd pf kb
kj_07859,10,pd nc lc qc qd pc od rc nd nb
kj_65022,7,pd nc qf ne tt qc pc
kj_08440,11,pc pe qe qf qd pg pj nd oe od pd
kj_27761,8,pd tt nc qf qe pf ph nf
kj_19247,7,pc pe qg qc qb qd mc
kj_28474,6,pd tt nc tt qi oi
kj_55425,6,pd nc qf pg pf ng
kj_14226,15,pd qc pc qd qe re rf qf pe rg rd sf rc ri tt
kj_03748,7,pc tt pe qc qd oc pb
kj_50010,8,pc qe tt od oc nd nc md
kj_67169,7,pd nc oc nd pf kd tt
kj_66406,14,pc pe qe qf qd pg of og nf ng mf pf nd tt
kj_34932,8,pd nc qf ne pb tt md nd
kj_43452,6,pc tt qe tt lc tt
kj_54125,6,pd nc qf pb lc qc
kj_65750,6,pd tt nc tt kd re
kj_80775,10,pd nc pf qc pc pb qd rb rc qb
kj_30861,8,pd nc qf ne pb pg pf ng
kj_54559,7,pd tt nc rd rf qc pc
kj_92198,6,pd tt nc qf rd ph
kj_29298,6,pc pe qg qc mc pd
kj_43452,6,pc tt qe tt lc tt
kj_52250,9,pd nc kd pf nd qc oc qd ph
kj_53303,6,pc pe qe qf qd pg
kj_54310,6,pc pe oe of od pf
kj_22383,8,pd tt mc qf re rf qe of
kj_59940,10,pd nc qf qc pc pb ob qb oc re
kj_69683,8,pd tt nc rd qd re rc qh
kj_36783,8,pc tt qi pe qe qf qd oh
kj_83247,7,pd nc qf pb tt ne tt
kj_13318,7,pd nc qf pb mc md lc
kj_19676,7,pc tt qe tt kc kd ld
kj_41753,6,pd tt nc qh qf oh
kj_49910,6,pd nc lc ld kc kd
kj_20285,6,pd tt mc qd qc pc
kj_50897,7,pd nc lc qc qd pc od
kj_57643,6,pc pe qe qf qd pf
kj_98295,6,pd nc pf pb qc ld
kj_52565,7,pd nc qf pb nd md ne
kj_58726,6,pd nc tt ld oc nd
kj_99295,6,pd pc qc oc qd lc
kj_32756,6,pd nc qf tt pb ld
kj_98558,6,pd nc qf pb qc kc
kj_18663,9,pd tt nc qf qe pf qh mf ld
kj_62621,6,pc tt qf tt lc nc
kj_84151,7,pd tt mc qd qe re pe
kj_61806,6,pd nc qf tt kd tt
kj_78676,10,pd tt nc re qe rd rf qf qg pf
kj_89447,7,pd nc qf pb tt qh qc
kj_21467,6,pd nc qf qi pb tt
kj_19036,6,pd tt lc nc nd qc
kj_53303,6,pc pe qe qf qd pg
kj_13318,7,pd nc qf pb mc md lc
kj_52931,9,pc pe qe qf qd pg of og rf
kj_64811,6,pc pd tt qc oc od
kj_67257,7,pd nc qf tt oc nd jd
kj_24370,11,pd nc kd qf nd md ne qc oc qd nb
kj_84151,7,pd tt mc qd qe re pe
kj_13338,11,pd nc lc qf pf pg of qd qc qe pc
kj_64727,7,pd nc pf tt oc nd jd
kj_31580,9,pd kc tt nc oc nd pf tt kd
kj_74287,7,pc tt pe tt pi oi ph
kj_21219,9,pd nc lc qf pf pg of qd qc
kj_76089,8,pd tt nc qf qe pf tt qc
kj_75889,7,pc tt qf tt mc ke tt
kj_53303,6,pc pe qe qf qd pg
kj_36929,6,pd nc qf kd tt pb
kj_53303,6,pc pe qe qf qd pg
kj_98558,6,pd nc qf pb qc kc
kj_81794,7,pc qe od qh pf qf pg
kj_98558,6,pd nc qf pb qc kc
kj_65022,7,pd nc qf ne tt qc pc
kj_28935,7,pd nc pf tt lc ld kc
kj_79016,14,pd nc lc qc qd pc od nd oc ob pb qb nb pa
kj_75682,7,pc pe qe pd qd oc qf
kj_55620,9,pc pe qe qf qd pf nc pj om
kj_18156,8,pd tt mc qd qe qc pc re
kj_52250,9,pd nc kd pf nd qc oc qd ph
kj_71241,7,pd nc oc nd pf jc ie
kj_61475,10,pc qe tt od oc nd mc tt qh tt
kj_09116,7,pd nc ob qf qe pf ne
kj_03907,6,pc pe oe of od pg
kj_40335,6,pc qe tt qh tt mc
kj_39443,18,pd tt nc qf qh qd qc rc qe rd pe pc qb pb rb sb re qa
kj_54310,6,pc pe oe of od pf
kj_73909,6,pd nc qf ne oc nb
kj_16503,8,pc pe qg qc qb qd ob of
kj_48019,10,pd nc kd qf nd md ne oc pc me
kj_65413,9,pd tt nd qd qc qe rc pe od
kj_25283,6,pc qe tt md od qh
kj_09476,6,pd nc qf jc lc tt
kj_51200,13,pd nc qf pc qc qb oc pb od ob nd mc tt
kj_81338,6,pd tt nc qf re rf
kj_68899,7,pd nc qf ne oc nb og
kj_98558,6,pd nc qf pb qc kc
kj_93524,6,pd nc qf pb tt qc
kj_88888,6,pc tt qe pb oc ob
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_53263,7,pd kc tt nc oc nd pf
kj_13318,7,pd nc qf pb mc md lc
kj_88583,13,pd qc pc qd qe re qf rf qg pb ob qb nc
kj_74597,6,pd tt nc tt kd tt
kj_92736,6,pc tt qe tt kc tt
kj_76723,7,pd nc oc nd qf tt lc
kj_34899,7,pc tt qf kc mc kd tt
kj_42487,7,pd tt lc tt qf le nc
kj_53123,6,pd nc kd qf nd qc
kj_53303,6,pc pe qe qf qd pg
kj_98944,7,pd tt nc qf qe pf ne
kj_60779,6,pd nc qf tt jc id
kj_40299,6,pd nc qf pb qc tt
kj_93032,9,pd nc tt qf nd od oe oc qe
kj_65337,6,pd nc pf qh tt rf
kj_77946,7,pd tt mc tt qe oc pc
kj_21467,6,pd nc qf qi pb tt
kj_53303,6,pc pe qe qf qd pg
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_60069,7,pd nc oc nd pf kc qi
kj_85622,6,pd nc kc pf nd qc
kj_75941,9,pc tt qe pb ob oc od nc nb
kj_30335,9,pc pe qe qf qd pf nc md nd
kj_25283,6,pc qe tt md od qh
kj_19686,6,pd nc qf tt kd ne
kj_53303,6,pc pe qe qf qd pg
kj_21467,6,pd nc qf qi pb tt
kj_76400,7,pc pe qe qf qd pg of
kj_15510,6,pd nc pf qh oh rf
kj_60151,8,pc qe od qh tt kc qd pe
kj_46742,6,pd tt nc kd tt kc
kj_43452,6,pc tt qe tt lc tt
kj_31908,7,pd tt nc tt jc jd kc
kj_48310,7,pd nc qf pe qe pc od
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_70259,6,pc pe qe qf qd tt
kj_86941,21,pd nc lc qc qd pc od nd oc ob pb qb nb pa ne mb md na tt me nf
kj_21666,14,pd nc tt qf nd md ne pc oc ob od mb qc pb
kj_29706,6,pd nc qf pb qc kd
kj_21467,6,pd nc qf qi pb tt
kj_53303,6,pc pe qe qf qd pg
kj_85487,9,pc qe pg oe nd pi ng qg tt
kj_54478,9,pd nc lc ne pf kd ld le kc
kj_27985,6,pc qe tt mc od tt
kj_61806,6,pd nc qf tt kd tt
kj_88158,12,pd nc kc qc pc qd pe pb ob qb oc qf
kj_90225,6,pd nc qf pb tt ne
kj_67257,7,pd nc qf tt oc nd jd
kj_92647,8,pc pe qe qf qd pf nc qj
kj_93423,6,pc qe qd pe nd qh
kj_88008,9,pc pe qe qf qd pf tt nd tt
kj_35222,8,pc qe pg tt pe tt qd tt
kj_96907,6,pc qe od qh qd pe
kj_80702,7,pd nc qf tt oc nd ld
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_82225,6,pd tt mc qc qd pc
kj_23282,6,pd nc qf tt jc jb
kj_36929,6,pd nc qf kd tt pb
kj_27027,6,pd tt lc tt qf nc
kj_53303,6,pc pe qe qf qd pg
kj_93895,7,pd nc qf pb md nd mc
kj_65701,6,pc pe qe qf qd mf
kj_54125,6,pd nc qf pb lc qc
