定式ID,匹配步数,落子前缀
kj_57900,17,pd qc pc qd qe re rf qf pe rg rd sf rc tt og pi ol
kj_38046,14,pc qe od tt pf qg tt pg og oh nh oi ni oj
kj_05544,7,pc qe od kc pf qg tt
kj_09417,16,pd nc tt qf pf pg of qd qc qe pc md le ld ke jc
kj_33789,15,pd nc tt qc pc qd pe pb ob qb tt qf tt kd tt
kj_86408,10,pd qc pc qd qf rf pe rg tt qb
kj_04027,18,pc qe tt od oc nd mc tt md me le mf qd rd pe pd qc pf
kj_16298,16,pc pe qe qf qd pf nc pj rh pd qc qh qi pi qj qk
kj_53589,7,pc tt pf qh ph pi qi
kj_68607,13,pd nc lc qc pc qd pe pb ob qb nb qf og
kj_16927,11,pc qe nd pi tt lc tt le nf nb pg
kj_78735,10,pd qc pc qd pe rf qf rg qb rb
kj_36094,7,pc qe od ph tt of qd
kj_57032,14,pd qc pc qd pe qf pf rg qh tt qg rf tt ld
kj_57260,13,pd qc pc qd qf qe pe rf tt qg pf qb oh
kj_52839,9,pc qe tt od oc nd mc tt qi
kj_63543,6,pc tt qe oc od nc
kj_60826,6,pd tt nc md tt id
kj_00327,11,pd qc pc qd pe rf tt kc tt ke oh
kj_93484,9,pd nc tt pf of og nf pg nd
kj_28070,9,pc qe od qh pf qf tt pg nf
kj_34166,7,pd nc qf tt pb tt lc
kj_32823,11,pc pe qe qf qd pf nc od oc tt pj
kj_81244,18,pd qc pc qd pe rf tt ld qb rb re qe qf pb rc qa rd qb
kj_59311,12,pc tt qf pd od qc qd pe qe oc pb nc
kj_53675,7,pc qe nd tt qh ql tt
kj_37149,6,pc qe nd qh jd tt
kj_64963,20,pd qc pc qd qf qe pe rf qb rb rg pf qg pb of tt ob qa tt pg
kj_67902,12,pd nc qf pc qc qb oc pb od ob nd mc
kj_98525,10,pc pe qe qf qd pf nc pj pl ql
kj_55343,6,pc qe qd pe nc pi
kj_05576,14,pd qc pc qd pe qf qe re rf rg rd sf rc tt
kj_91624,13,pd nc tt qf pf pg of qd qg qe ph pc og
kj_67319,9,pc qe nd lc qd pe mc ld nf
kj_93941,10,pd nc qf jc tt pc qc qb oc pb
kj_57332,8,pd nc lc ne pf jc le ng
kj_51196,14,pd nc qf pc qc qb oc pb od ob nd mc tt md
kj_84858,12,pd nc lc qc pc qd pe pb ob qb nb qf
kj_07151,7,pc qe od qh kc tt pf
kj_53469,6,pc qe od tt qh tt
kj_70321,6,pc tt qf kd tt ke
kj_94746,6,qc tt nd pe pd oe
kj_86750,30,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me of qb md nc mc nb mb na le mf lf mg kh li
kj_81155,6,pd qc pc qd pe rf
kj_34429,14,pd nc qf pc qc qb oc pb od ob nd mc tt qj
kj_21864,11,pc tt pf qh qj oh qg rg rf oc od
kj_58019,22,pd qc pc qd qf rf rg qe pf pe oe of ne pb ob qb mc og ph rh qh sg
kj_81155,6,pd qc pc qd pe rf
kj_92127,18,pd qc pc qd pe rf qb rb re qe qf rd rg pf qg of ob qa
kj_81858,6,pc qe od qh pf qf
kj_93589,19,pd qc pc qd qf qe pe rf qb rb re rd rg pf qg of ld pj oh
kj_56278,15,pd qc pc qd qf qe pe rf tt qg pf qb pg qh ph
kj_54426,8,pd nc pf oe oc pe qe nd
kj_28884,15,pd qc pc qd qf qe pe rf tt qg pf qb tt kc mc
kj_01457,8,pc qe nd lc qd pe mb pi
kj_93399,7,pd nc lc ne pf pb qc
