定式ID,匹配步数,落子前缀
kj_16398,7,pd nc qf tt kd kc lc
kj_98558,6,pd nc qf pb qc kc
kj_63543,6,pc tt qe oc od nc
kj_91319,7,pc pe tt qc qb qd ob
kj_63543,6,pc tt qe oc od nc
kj_54125,6,pd nc qf pb lc qc
kj_60524,6,pd tt nc tt qi qg
kj_57096,8,pd nc qf tt oc nd jc tt
kj_94055,7,pd nc qf pb tt pg qg
kj_12850,10,pc qe qi od oc nd mc qk oi ok
kj_91560,6,pd nc oc nd pf ke
kj_53303,6,pc pe qe qf qd pg
kj_75682,7,pc pe qe pd qd oc qf
kj_70870,7,pc qe ph od pd pe oe
kj_88583,13,pd qc pc qd qe re qf rf qg pb ob qb nc
kj_27673,7,pd nc pf qh pi ph oh
kj_50897,7,pd nc lc qc qd pc od
kj_71693,7,pd tt kc ld kd ke le
kj_65189,7,pd nc oc nd pf kc tt
kj_81743,6,pd nc qf pe tt qe
kj_06265,9,pc qe pg oe nd ld ne of mf
kj_57643,6,pc pe qe qf qd pf
kj_75941,9,pc tt qe pb ob oc od nc nb
kj_92647,8,pc pe qe qf qd pf nc qj
kj_74803,9,pd nc qf tt lc ld kd kc ke
kj_63543,6,pc tt qe oc od nc
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_96262,12,pc qe tt nd od oe nc md mc ld lc kd
kj_91262,8,pc tt qe oc od nc pb nd
kj_53303,6,pc pe qe qf qd pg
kj_63539,8,pc tt qe oc od nc pb tt
kj_53303,6,pc pe qe qf qd pg
kj_16398,7,pd nc qf tt kd kc lc
kj_63543,6,pc tt qe oc od nc
kj_75305,10,pd qc pc qd pe rf qb rb pb qg
kj_91847,6,pd nc kd qf pf pg
kj_94055,7,pd nc qf pb tt pg qg
kj_74809,6,pc tt qf qh tt qe
kj_64152,6,pd nc qf pb lc ne
kj_56476,6,pc pe nd qc qb qd
kj_53303,6,pc pe qe qf qd pg
kj_94258,9,pd nc pf tt lc ld kd ke kc
kj_98558,6,pd nc qf pb qc kc
