定式ID,匹配步数,落子前缀
kj_20474,7,pd nc lc tt qf tt ic
kj_98558,6,pd nc qf pb qc kc
kj_98558,6,pd nc qf pb qc kc
kj_20474,7,pd nc lc tt qf tt ic
kj_98558,6,pd nc qf pb qc kc
kj_98558,6,pd nc qf pb qc kc
kj_24364,15,pc qe nd tt qg qc qb pd rc oc qd pb qc od re
kj_71774,10,pc qe qi od oc nd nc md lc qk
kj_95942,6,pd tt nc qd qe pc
kj_32712,22,pd nc qf pc qc qb oc pb ob od nb qd pe rd mc nd md of mf nf mg oh
kj_57643,6,pc pe qe qf qd pf
kj_74791,13,pd nc qf tt lc ld kd kc ke lb tt mc kb
kj_04615,8,pd tt nc lc tt rd qf rf
kj_86264,6,pd tt nc qd qc pe
kj_17887,8,pc qe od tt pf qc qb rd
kj_75786,8,pd nc tt qf pf pg of qd
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_66530,8,pd nc qf ne tt pg qg ph
kj_17362,6,pd tt mc qc pc qd
kj_91984,11,pc qe tt od oc nd mc tt qi tt md
kj_57643,6,pc pe qe qf qd pf
kj_59036,8,pd nc oc nd pf kc jc kd
kj_87755,7,pc pe qg qc qb qd ob
kj_62160,8,pd nc qf tt kc pb qc od
kj_82361,7,pd nc lc tt oc tt nd
kj_07270,11,pd nc qf tt jc pc qc qb oc pb od
kj_10176,8,pc pe tt qc qb qd ob nc
kj_90292,6,pd nc nd od oe oc
kj_43452,6,pc tt qe tt lc tt
kj_39717,6,pd nc qf pb qc ld
kj_29688,6,pc qe tt mc od jd
kj_57643,6,pc pe qe qf qd pf
kj_19247,7,pc pe qg qc qb qd mc
kj_91202,11,pc qe tt od oc nd nc md mc ld tt
kj_36132,8,pd nc oc nd pf kc je le
kj_70870,7,pc qe ph od pd pe oe
kj_81743,6,pd nc qf pe tt qe
kj_53945,6,pd nc qf tt lc pb
kj_27813,6,pc qe tt md od pg
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_93524,6,pd nc qf pb tt qc
kj_80130,9,pd nc lc ne pf pb qc jc jd
kj_85930,8,pd tt ld qc pc qd pe rf
kj_48019,10,pd nc kd qf nd md ne oc pc me
kj_75941,9,pc tt qe pb ob oc od nc nb
kj_92647,8,pc pe qe qf qd pf nc qj
kj_13318,7,pd nc qf pb mc md lc
kj_55127,6,pd tt nc tt qi tt
kj_42629,8,pd qc pc qd qe re qb rb
kj_12979,9,pd nc qf tt lc pb qc od ic
kj_98558,6,pd nc qf pb qc kc
kj_75941,9,pc tt qe pb ob oc od nc nb
kj_92647,8,pc pe qe qf qd pf nc qj
kj_56948,8,pc qe qi od oc nd mc qk
kj_67044,7,pc tt pe tt lc je tt
kj_35222,8,pc qe pg tt pe tt qd tt
kj_81707,7,pc qe od tt qi tt pf
kj_98040,10,pd qc pc qd qe re rf pb ob oc
kj_60923,8,pd nc pf tt oc tt nd tt
kj_46674,7,pd tt nc tt qe lc tt
kj_98960,7,pd nc qf pb lc qc nd
kj_40708,19,pd nc lc qc qd pc od nd oc ob pb qb nb pa ne mb md na mf
kj_75682,7,pc pe qe pd qd oc qf
kj_57643,6,pc pe qe qf qd pf
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_02742,9,pd tt nc rd qd re rc rb sc
kj_61474,8,pc pe qe qf qd pf nc pj
kj_34055,8,pd nc pf tt oc qi tt nd
kj_83001,8,pd nc qf tt oc nd jd hc
kj_42596,6,pd tt mc qi tt qf
kj_70870,7,pc qe ph od pd pe oe
kj_39717,6,pd nc qf pb qc ld
kj_98558,6,pd nc qf pb qc kc
kj_77954,10,pd nc qf tt lc ne le pb qc ng
kj_24766,8,pc pe qg qc qd pd qe qf
kj_19417,7,pc qe ph od oc nd mc
kj_54310,6,pc pe oe of od pf
kj_49922,6,pc qe tt nc od nd
kj_65337,6,pd nc pf qh tt rf
kj_56620,6,pc qe od tt qh rc
kj_58836,6,pc tt qe tt kc kd
kj_50671,6,pd nc qf tt lc ne
kj_70251,7,pc pe qe qf qd tt pf
kj_32756,6,pd nc qf tt pb ld
kj_71078,8,pc qe od tt pf qg qi pg
kj_63541,7,pc tt qe oc od nc pb
kj_63324,6,pd nc qf kc oc nd
kj_47818,11,pc pe qe qf qd pf nc pj tt md nd
kj_70057,7,pd nc qf ne oc nb nf
kj_41139,11,pc pe qe qf qd tt pf qg of pi tt
kj_93524,6,pd nc qf pb tt qc
kj_70870,7,pc qe ph od pd pe oe
kj_07334,7,pd nc qf pb qc ld tt
kj_98558,6,pd nc qf pb qc kc
kj_53504,8,pd tt nc rd qd re rc qg
kj_70870,7,pc qe ph od pd pe oe
kj_43452,6,pc tt qe tt lc tt
kj_25893,8,pd nc kd tt ne qc pc qd
kj_23955,7,pd nc oc nd pf kc ic
kj_20474,7,pd nc lc tt qf tt ic
kj_77729,6,pd nc lc tt ic qf
kj_09041,11,pd nc tt qf nd md ne oc pc me qe
kj_57643,6,pc pe qe qf qd pf
kj_53123,6,pd nc kd qf nd qc
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_55417,6,pc pe nc qc qb qd
kj_32882,15,pd nc kd qc pc qd pe pb ob qb oc qf tt nb nd
kj_76585,6,pc tt pe tt qh qc
kj_50352,10,pd nc qf tt lc ld kd ke kc md
kj_48019,10,pd nc kd qf nd md ne oc pc me
kj_19247,7,pc pe qg qc qb qd mc
kj_27695,7,pc pe nc qc qb qd rb
kj_81743,6,pd nc qf pe tt qe
kj_16530,6,pd nc kc qf nd md
kj_19247,7,pc pe qg qc qb qd mc
kj_92160,7,pc qe pg tt pe tt qd
kj_79359,7,pd tt nc qd qc qe rc
kj_49922,6,pc qe tt nc od nd
kj_17362,6,pd tt mc qc pc qd
kj_98295,6,pd nc pf pb qc ld
kj_88767,14,pd nc qf pc qc qb oc pb od ob rc nd mb nb
kj_23472,7,pd nc qf kc oc nd tt
kj_75892,7,pd nc oc nd pf kc je
kj_19247,7,pc pe qg qc qb qd mc
kj_48436,12,pc qe tt nd pe pf oe qd oc qc kc tt
kj_16503,8,pc pe qg qc qb qd ob of
kj_49922,6,pc qe tt nc od nd
kj_66943,6,pd nc tt qf pf qc
kj_49343,6,od tt qd tt lc tt
kj_77099,6,pd tt nc tt qe lc
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_67257,7,pd nc qf tt oc nd jd
kj_93524,6,pd nc qf pb tt qc
kj_68741,16,pd qc pc qd qe re rf pb ob oc pe nb qb oa rb tt
kj_65472,10,pd nc lc pf nd qc qd pc od nb
kj_56622,7,pc pe qe qf qd pf nc
kj_57643,6,pc pe qe qf qd pf
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_55013,6,pd tt kd kc tt ld
kj_88653,8,pc pe qe pd qd oc qc pf
kj_32779,9,pd nc pf ne oc nb nf mf ng
kj_36721,7,pd nc ld ne pf tt oc
kj_40708,19,pd nc lc qc qd pc od nd oc ob pb qb nb pa ne mb md na mf
kj_75682,7,pc pe qe pd qd oc qf
kj_84151,7,pd tt mc qd qe re pe
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_71532,10,pc qe qi od oc nd nc md lc tt
kj_16197,8,pd nc qf pb tt ne nf oe
kj_23359,7,pd nc qf pb tt qc tt
kj_98558,6,pd nc qf pb qc kc
kj_86992,9,pc pe qe qf qd pf nc pj kc
kj_41537,6,pd nc qf tt pb tt
kj_53303,6,pc pe qe qf qd pg
kj_55297,8,pd nc oc nd pf jd hc tt
kj_82609,7,pd tt mc qf qe pf pi
kj_87805,6,pc qc qd pd oc od
kj_54259,7,pd nc jc qf nd md ne
kj_49922,6,pc qe tt nc od nd
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_27020,6,pd tt mc tt qe kc
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_35037,12,pc pe qe qf qd pf nc pj ql pl qk pk
kj_62825,8,pd nc qf ne pb pg pf og
kj_88653,8,pc pe qe pd qd oc qc pf
kj_65189,7,pd nc oc nd pf kc tt
kj_13318,7,pd nc qf pb mc md lc
kj_61326,7,pd nc pf tt oc tt nd
kj_78081,7,pc tt pe qg tt lc tt
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_80053,6,pd nc oc qc qd ob
kj_55221,6,pd nc lc ne pf kd
kj_86959,15,pd nc lc qf nd md mc qd oc qc tt nb ob ne od
kj_52407,8,pc pe qe qf qd pg tt nd
kj_74373,8,pc tt qe pf qf oc pd ne
kj_27020,6,pd tt mc tt qe kc
kj_29294,11,pc pe qe qf qd pf nc pj tt ql pl
kj_46520,7,pd nc pf qh qj oh nf
kj_29688,6,pc qe tt mc od jd
kj_15406,6,pd nc ld ne pf jd
kj_28003,6,pd tt kc tt qf nc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_23121,15,pd tt kc qc pc qd qe re rf qf pe rg rd sf rc
kj_75682,7,pc pe qe pd qd oc qf
kj_80645,9,pd tt nc re rd qe qd qi tt
kj_64125,7,pc qe qg od oc nd mc
kj_87121,6,pc qe od pg tt md
kj_03748,7,pc tt pe qc qd oc pb
kj_87997,7,pd nc qf tt oc nd kd
kj_07215,10,pd nc qf tt lc tt ic pc qc qb
kj_31082,6,pd nc pf pb mc mb
kj_10202,11,pc qe tt od pd pe oe oc ob nb pb
kj_56956,7,pc qe qi od oc nd mc
kj_50354,9,pd nc qf tt lc ld kd ke kc
kj_36783,8,pc tt qi pe qe qf qd oh
kj_06528,8,pd nc qg qc pc qd pe qe
kj_70259,6,pc pe qe qf qd tt
kj_91095,10,pc pe qe qf qd pf nc pj pl tt
kj_96702,7,pd nc qf tt lc pb qc
kj_69629,6,pd nc pf qh lc ne
kj_62521,6,pd nc qf ne tt jc
kj_28934,7,pd nc qf tt lc pe qe
kj_89117,16,pd qc pc qd qe re rf pb ob oc pe nb qb oa rb kc
kj_53996,6,pd nc oc nd pf jd
kj_46674,7,pd tt nc tt qe lc tt
kj_76364,8,pc pe qe qf qd pg of og
kj_44989,6,pd nc oc nd kd pe
kj_19247,7,pc pe qg qc qb qd mc
kj_26674,7,pd nc qf tt kc hc pc
kj_84077,7,pc pe qe qf qd pg pk
kj_74086,9,pc qe od tt qi oe ne of qd
kj_19247,7,pc pe qg qc qb qd mc
kj_42726,8,pc qe pg qg qh ph og qi
kj_92935,6,pd nc qg qc pc qd
kj_61211,8,pd nc oc nd qf pe qe qc
kj_53303,6,pc pe qe qf qd pg
kj_39717,6,pd nc qf pb qc ld
kj_05097,7,pd tt nc rd rf qe qc
kj_70870,7,pc qe ph od pd pe oe
kj_36659,7,pc qe qi tt qd od pd
kj_69683,8,pd tt nc rd qd re rc qh
kj_98558,6,pd nc qf pb qc kc
kj_51498,6,pd nc qf tt pb ne
kj_84759,7,pd tt kd ke ld le me
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_83246,8,pd nc qf pb tt ne tt qh
kj_19247,7,pc pe qg qc qb qd mc
kj_96551,10,pd nc lc qf pf pg of qc qe pc
kj_71816,10,pc qe tt qc qb rb qd rc pd rd
kj_36502,10,pd nc qf pc qc qb qd ob qi tt
kj_38866,10,pd nc ne qc pc qd qe pb ob qb
kj_82018,7,pc qe tt od oc nd mc
kj_76464,15,pd nc qf pc qc qb oc pb ob od nb qd pe rd mc
kj_89447,7,pd nc qf pb tt qh qc
kj_13318,7,pd nc qf pb mc md lc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_25194,8,pc pe qe qf qd pf nd mf
kj_56476,6,pc pe nd qc qb qd
kj_40335,6,pc qe tt qh tt mc
kj_75682,7,pc pe qe pd qd oc qf
kj_52281,7,pd tt kd ke ld le md
kj_34498,12,pd nc pf tt lc pc qc qb oc pb od ob
kj_70251,7,pc pe qe qf qd tt pf
kj_29706,6,pd nc qf pb qc kd
kj_32712,22,pd nc qf pc qc qb oc pb ob od nb qd pe rd mc nd md of mf nf mg oh
kj_29685,7,pc qe tt mc od jd tt
kj_20145,10,pd tt nc re rd qe qd qi tt mc
kj_16887,10,pd qc pc qd qe re qf pb ob qb
kj_16153,6,pc tt pe tt mf tt
kj_48955,6,pd nc qf jc lc je
kj_79016,14,pd nc lc qc qd pc od nd oc ob pb qb nb pa
kj_65701,6,pc pe qe qf qd mf
kj_16753,10,pc qe tt od oc nd mc md nc ld
kj_48019,10,pd nc kd qf nd md ne oc pc me
kj_93989,10,pd nc qf pc qc qb qd ob tt qh
kj_86083,6,pd nc qf pb tt qj
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_07334,7,pd nc qf pb qc ld tt
kj_30108,6,pd nc oc nd qf kc
kj_56142,6,pd nc oc nd pf kd
kj_18863,6,pc tt qf nc kd tt
kj_61722,7,pc tt pe tt qh tt oi
kj_92105,6,pd tt nc qf pg pf
kj_04700,8,pd nc qf tt lc pb nd oc
kj_74541,8,pd nc qf tt oc nd jc hc
kj_43777,6,pc tt pe tt qh oh
kj_25283,6,pc qe tt md od qh
kj_51168,11,pd nc lc qf nd qc qd pc od nb rd
kj_70369,8,pc pe tt qc qb qd ob tt
kj_85487,9,pc qe pg oe nd pi ng qg tt
kj_23612,7,pd nc oc nd pf tt kb
kj_88158,12,pd nc kc qc pc qd pe pb ob qb oc qf
kj_19686,6,pd nc qf tt kd ne
kj_92277,6,pd nc tt kc kd lc
kj_65128,13,pd qc pc qd qf rf qg pb ob qb nc qe pe
kj_61722,7,pc tt pe tt qh tt oi
kj_36772,15,pd qc pc qd qf qe pe rf rg pf qg pb ob qb nc
kj_65472,10,pd nc lc pf nd qc qd pc od nb
kj_68215,9,pc pe qe qf qd pf nc me ld
kj_80369,6,pd nc pf kd tt qh
kj_68484,7,pd nc pf tt oc nd pi
kj_43452,6,pc tt qe tt lc tt
