定式ID,匹配步数,落子前缀
kj_31664,15,pd qc pc qd pe rf qb rb re pb qe tt ob qa tt
kj_65015,13,pc qe tt od oc nd mc tt md tt mf ng tt
kj_61083,7,pc tt pe pf of qe qf
kj_29184,7,pc tt qf kc mc tt le
kj_61943,16,pd qc pc qd qf qe pe rf qg rg qh tt kc kd ld ke
kj_01977,11,pd qc pc qd qf rf qg rg qh kd tt
kj_92765,8,pc qe nd tt qd pe ph og
kj_70832,7,pd tt nc md nd qi tt
kj_30025,21,pd qc pc qd qe re rf qf pe rg rd sf rc pf of og nf ng mf tt mg
kj_28651,10,pc qe nd qh tt lc qd pe mc ld
kj_17203,8,pc qe qd pe nc tt ph mf
kj_55343,6,pc qe qd pe nc pi
kj_13279,13,pd qc pc qd pe rf tt ld jd lf oh qg pg
kj_65619,12,pc tt qf pd qd oc pe od pb qc qb kc
kj_52388,7,pc qe nd pi tt qc qb
kj_63261,7,pc tt pf qh tt pd qc
kj_68608,15,pd qc pc qd pe rf tt qg tt lc tt le pg ph qf
kj_72147,12,pd qc pc qd qf rf pe rg tt qb tt ld
kj_75922,9,pd nc oc nd pf tt kc tt ke
kj_81602,15,pd qc pc qd qe re rf qf pe rg rd sf rc tt og
kj_75895,9,pc tt pf mc tt pd qc nd oc
kj_95396,9,pc pe qh md qe qf qd pf nc
kj_30270,6,pc tt pf kd tt pd
kj_13428,21,pd nc nd oc od pc qc md mc qb rb lc mb lb nb pb rd ma me ld tt
kj_69146,12,pd qc pc qd pe rf qf rg tt qb tt md
kj_36507,11,pd qc pc qd pe qf tt rg ld tt id
kj_57643,6,pc pe qe qf qd pf
kj_60298,17,pd qc pc qd qf qe pe rf qb rb re rd rg se qg of ld
kj_55736,7,pd nc oc nd pf jd ie
kj_26113,16,pc pe qe qf qd pf nc pj ql tt pi qi qh rh qj ri
kj_31664,15,pd qc pc qd pe rf qb rb re pb qe tt ob qa tt
kj_64717,13,pc qe tt od oc nd mc md lc ld tt kc kb
kj_67481,11,pd qc pc qd qf qe pe rf qg rg qh
kj_36427,10,pc qe ph tt qd od pd pe oe rd
kj_54728,6,pc tt pf tt qh oe
kj_42939,6,pc tt pe tt pi lc
kj_50650,10,pc qe od tt qh pf rd nf og me
kj_55441,9,pc tt pf qh qj oh tt pd qc
kj_73507,7,pc tt pe qg tt re qd
kj_01237,7,pd nc lc tt id pf of
kj_73671,23,pd qc pc qd qf qe pe rf qb rb re pf qg rd of tt rg pg oh pb ob qa ph
kj_26656,10,pc tt qf pd tt qc od pe oc rd
kj_58350,6,pc qe nd tt qi ne
kj_47166,6,pc qe nd tt qi ok
kj_32438,17,pd nc lc qf pf pg of qc pc qd qg pe oe qe ph pb og
kj_91853,7,pd nc lc ld kc pf nd
kj_16479,7,pc qe od ph tt mc of
kj_03716,21,pd qc pc qd qf qe pe rf qb rb re rd rg pf qg of oh mf ld ke kd
kj_96453,12,pd qc pc qd pe qf tt rg tt ld og tt
kj_71696,8,pd qc pc qd pe rf tt qg
kj_73347,6,pc tt qf qh tt oh
kj_50650,10,pc qe od tt qh pf rd nf og me
kj_55441,9,pc tt pf qh qj oh tt pd qc
kj_73507,7,pc tt pe qg tt re qd
kj_01237,7,pd nc lc tt id pf of
kj_60298,17,pd qc pc qd qf qe pe rf qb rb re rd rg se qg of ld
kj_55736,7,pd nc oc nd pf jd ie
kj_53175,15,pd qc pc qd qe re rf qf pe rg rd sf rc qb rb
kj_34429,14,pd nc qf pc qc qb oc pb od ob nd mc tt qj
kj_20241,7,pc tt pe pi tt qi tt
kj_88871,6,pc qe od qh tt kd
kj_73671,23,pd qc pc qd qf qe pe rf qb rb re pf qg rd of tt rg pg oh pb ob qa ph
kj_26656,10,pc tt qf pd tt qc od pe oc rd
kj_58350,6,pc qe nd tt qi ne
kj_47166,6,pc qe nd tt qi ok
kj_03716,21,pd qc pc qd qf qe pe rf qb rb re rd rg pf qg of oh mf ld ke kd
kj_96453,12,pd qc pc qd pe qf tt rg tt ld og tt
kj_71696,8,pd qc pc qd pe rf tt qg
kj_73347,6,pc tt qf qh tt oh
kj_73671,23,pd qc pc qd qf qe pe rf qb rb re pf qg rd of tt rg pg oh pb ob qa ph
kj_26656,10,pc tt qf pd tt qc od pe oc rd
kj_58350,6,pc qe nd tt qi ne
kj_47166,6,pc qe nd tt qi ok
kj_31664,15,pd qc pc qd pe rf qb rb re pb qe tt ob qa tt
kj_65015,13,pc qe tt od oc nd mc tt md tt mf ng tt
kj_29184,7,pc tt qf kc mc tt le
kj_94406,6,pc tt pe pf of qe
kj_61943,16,pd qc pc qd qf qe pe rf qg rg qh tt kc kd ld ke
kj_01977,11,pd qc pc qd qf rf qg rg qh kd tt
kj_92765,8,pc qe nd tt qd pe ph og
kj_70832,7,pd tt nc md nd qi tt
kj_95396,9,pc pe qh md qe qf qd pf nc
kj_30270,6,pc tt pf kd tt pd
kj_53175,15,pd qc pc qd qe re rf qf pe rg rd sf rc qb rb
kj_34429,14,pd nc qf pc qc qb oc pb od ob nd mc tt qj
kj_20241,7,pc tt pe pi tt qi tt
kj_88871,6,pc qe od qh tt kd
kj_67481,11,pd qc pc qd qf qe pe rf qg rg qh
kj_36427,10,pc qe ph tt qd od pd pe oe rd
kj_54728,6,pc tt pf tt qh oe
kj_42939,6,pc tt pe tt pi lc
kj_32438,17,pd nc lc qf pf pg of qc pc qd qg pe oe qe ph pb og
kj_91853,7,pd nc lc ld kc pf nd
kj_16479,7,pc qe od ph tt mc of
kj_13279,13,pd qc pc qd pe rf tt ld jd lf oh qg pg
kj_65619,12,pc tt qf pd qd oc pe od pb qc qb kc
kj_52388,7,pc qe nd pi tt qc qb
kj_63261,7,pc tt pf qh tt pd qc
kj_88596,14,pd qc pc qd qf qe pe rf qg rg qh tt ql tt
kj_86846,6,pc tt pf tt lc je
kj_53175,15,pd qc pc qd qe re rf qf pe rg rd sf rc qb rb
kj_34429,14,pd nc qf pc qc qb oc pb od ob nd mc tt qj
kj_20241,7,pc tt pe pi tt qi tt
kj_88871,6,pc qe od qh tt kd
kj_96441,19,pd nc qf pc qc qb oc pb ob qd od qe rc rb rd re rf pe of
kj_69893,6,qc tt kc pd qd pe
kj_14011,22,pd nc tt qf nd md ne pc qc oc pf od pe qb rd rc qd tt rb ra sc lf
kj_97700,13,pd qc pc qd pe qe qg qf pf rg qh rh qi
kj_11901,11,pd tt kc qc qd pc nc oc nd od oe
kj_55526,14,pd qc pc qd pe qf tt rg tt ld og mf pf tt
kj_50597,13,pd nc tt qc pc qd pe pb ob qb nb mc kc
kj_71696,8,pd qc pc qd pe rf tt qg
kj_37431,6,pc qe od tt qi pl
kj_06472,12,pc qe tt od oc nd nc md mc tt qg ld
kj_69860,12,pc qe tt od oc nd mb tt qh oh pj tt
kj_75637,10,pc tt pf qh tt oh tt pd qc nd
kj_27642,7,pd tt nc md id tt mf
kj_06472,12,pc qe tt od oc nd nc md mc tt qg ld
kj_69860,12,pc qe tt od oc nd mb tt qh oh pj tt
kj_75637,10,pc tt pf qh tt oh tt pd qc nd
kj_27642,7,pd tt nc md id tt mf
kj_55526,14,pd qc pc qd pe qf tt rg tt ld og mf pf tt
kj_50597,13,pd nc tt qc pc qd pe pb ob qb nb mc kc
kj_71696,8,pd qc pc qd pe rf tt qg
kj_37431,6,pc qe od tt qi pl
kj_88596,14,pd qc pc qd qf qe pe rf qg rg qh tt ql tt
kj_86846,6,pc tt pf tt lc je
