定式ID,匹配步数,落子前缀
kj_32044,11,pd nc lc qf nd qc qd pc od oc rd
kj_70934,10,pd nc tt pf of qc pc qd pe qe
kj_86244,11,pc pe qe qf qd pf nc pj rh rg ph
kj_51405,10,pc pe qe qf qd pf nc pj tt me
kj_79516,6,pd nc oc nd qf jd
kj_27212,15,pc qe tt nd pe pd od qd oc oe pf qc nc of pg
kj_76161,8,pc qe od tt pf qg tt pg
kj_64125,7,pc qe qg od oc nd mc
kj_16971,11,pc pe qe qf qd pg tt nd tt ob pb
kj_62006,7,pd tt nc qi tt qf re
kj_75892,7,pd nc oc nd pf kc je
kj_51290,7,pd nc nd md oc ne od
kj_57643,6,pc pe qe qf qd pf
kj_98558,6,pd nc qf pb qc kc
kj_52931,9,pc pe qe qf qd pg of og rf
kj_22558,9,pd tt nc lc tt rd qd re rc
kj_91261,9,pc tt qe oc od nc pb nd oe
kj_09476,6,pd nc qf jc lc tt
kj_92887,6,pd nc qf tt kc ic
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_10044,6,pc tt qe tt lc pf
kj_16530,6,pd nc kc qf nd md
kj_54302,10,pc pe qe qf qd pg of og tt nf
kj_53832,8,pc qe qd pe nd pi tt lc
kj_94993,7,pc tt qf qh ph pi pg
kj_88954,7,pd tt mc qd qc qe rc
kj_35972,8,pc pe tt qc qb qd nc tt
kj_17972,7,pc qe tt lc qd pe nc
kj_99147,6,pd nc kd tt oc tt
kj_36928,7,pd nc qf kd tt pb tt
kj_53267,6,pd kc tt nc oc nd
kj_53303,6,pc pe qe qf qd pg
kj_53509,6,pc qe od tt pf qg
kj_57523,12,pd nc kd qc pc qd pe pb ob qb oc qf
kj_82609,7,pd tt mc qf qe pf pi
kj_06265,9,pc qe pg oe nd ld ne of mf
kj_01331,6,pd nc qf pb ld ne
kj_78261,6,pc tt qf lc tt qh
kj_41971,8,pd tt nc tt qh qf oh of
kj_32179,6,pd nc qf pb qi tt
kj_54125,6,pd nc qf pb lc qc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_60118,6,pd tt nc tt qe tt
kj_17972,7,pc qe tt lc qd pe nc
kj_03857,6,pc pe tt qc tt mc
kj_27813,6,pc qe tt md od pg
kj_39022,7,pd nc qf tt lc ld kc
kj_80093,9,pc pe qe qf qd pf nc qj qh
kj_75454,7,pc qe qd pe nc tt qh
kj_52877,6,pc qe tt mc od jc
kj_26437,8,pd nc kd qf nd md ne pc
kj_00826,8,pc qe tt mc od jc qd pe
kj_87287,7,pd nc pf tt qi tt oc
kj_82225,6,pd tt mc qc qd pc
kj_03715,7,pd nc qf pb qc kd tt
kj_45506,7,pc qe od oe ne of nf
kj_74033,6,pd nc qf tt lc tt
kj_54125,6,pd nc qf pb lc qc
kj_65208,11,pc pe qe qf qd pf nc qj ql tt qh
kj_92801,7,pc tt qf nc lc pd qd
kj_98558,6,pd nc qf pb qc kc
kj_56271,7,pd nc pf tt oc nd kd
kj_92198,6,pd tt nc qf rd ph
kj_27027,6,pd tt lc tt qf nc
kj_53303,6,pc pe qe qf qd pg
kj_56322,13,pd nc ld qc pc qd pe pb ob qb oc qf tt
kj_35391,6,od tt qd tt qh mc
kj_98558,6,pd nc qf pb qc kc
kj_98558,6,pd nc qf pb qc kc
kj_17436,6,pc tt pe tt kc ke
kj_92887,6,pd nc qf tt kc ic
kj_16990,7,pd nc kd ne pf id kf
kj_44126,6,pd nc ld ne pf tt
kj_96262,12,pc qe tt nd od oe nc md mc ld lc kd
kj_78741,13,pc pe qe pd qd oc pf qc pb rc ob nc rd
kj_39164,7,pd nc qf tt lc tt pc
kj_60483,6,pc tt qi tt pe tt
kj_80369,6,pd nc pf kd tt qh
kj_07859,10,pd nc lc qc qd pc od rc nd nb
