定式ID,匹配步数,落子前缀
kj_79715,11,pd nc tt qc pc qd pe pb ob qb tt
kj_44470,9,pd nc tt ne oc nb of qf pf
kj_52247,9,pd nc tt pf of pg pe og nd
kj_42782,22,pd qc pc qd pe qe qf rf qb rb re pb rc qa rd qb rg pf qg nc nf tt
kj_55456,7,pd nc oc nd pf jd je
kj_81155,6,pd qc pc qd pe rf
kj_51196,14,pd nc qf pc qc qb oc pb od ob nd mc tt md
kj_21482,13,pc tt pf qh tt pd od qd qc rc nc re ph
kj_80343,13,pd nc lc qc pc qd pe pb ob qb nb qf hc
kj_83280,11,pd qc pc qd pe qe qg qf pf pg qh
kj_89061,12,pd nc tt pf of og nf pg pe ng mf pb
kj_10449,7,pd qc pc qd pe rf lf
kj_90348,13,pd qc pc qd qe re rf qf pe rg rd sf rc
kj_94670,12,pd nc qf pc qc qb oc pb od ob tt nd
kj_93205,6,pc qe nd qh tt lc
kj_72318,6,pc tt qe tt kd pf
kj_75533,16,pd tt nc qf qh qd qc rc qe rd pe pc qb pb rb sb
kj_60331,12,pd nc tt qc pc qd pe pb ob qb qe oc
kj_42915,11,pd qc pc qd pe qf tt rg kd tt pf
kj_20975,9,pd nc oc nd pf jd lb qc nb
kj_65347,17,pd qc pc qd qe re rf qf pe rg rd sf rc tt og tt pi
kj_75482,6,pc qe qd pe nc tt
kj_75482,6,pc qe qd pe nc tt
kj_10779,15,pd tt nc qf qe pf tt mf qh md mc ld kb tt oh
kj_18982,12,pc qe nd tt qi tt ql qc qb pd oc rc
kj_32143,7,pd nc tt kc ie tt ke
kj_62296,9,pd nc qf tt lc pc qc qb rc
kj_13858,8,pd nc oc nd pf jd je ke
kj_93202,9,pc qe nd qh tt lc qd pe mb
kj_26979,8,pd tt nc md nd mf tt qf
kj_78751,8,pd qc pc qd pe rf qf rg
kj_77704,24,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me og qb md nc mc nb mb na
kj_75533,16,pd tt nc qf qh qd qc rc qe rd pe pc qb pb rb sb
kj_69466,13,pd qc pc qd pe qf pf rg qg qh qe pg re
kj_65059,14,pd qc pc qd pe rf qb rb re pb qe ob qi pi
kj_61228,8,pc qe od qh tt mc qd pe
kj_81155,6,pd qc pc qd pe rf
kj_01356,6,pd tt nc qf pi of
kj_84497,17,pd qc pc qd pe rf qb rb re qe qf rd rg pf qg of oh
