定式ID,匹配步数,落子前缀
kj_33285,13,pc qe tt od oc nd mc tt qg pg ph oh pi
kj_42171,8,pc qe od pf of og nf tt
kj_40520,6,pd tt nc md nd qf
kj_00807,23,pd qc pc qd qf qe pe rf tt qg pf qb tt pg og oh ng nh mh mg ne oj lh
kj_40157,10,pd tt nc md mf mc nd nb ob mb
kj_88528,9,pd nc pf oe pe pb tt me tt
kj_26391,8,pc tt qh pd oc qd qc ne
kj_98446,9,pc tt qe pf tt qf pe of pj
kj_11629,9,pd tt nc md nd mc tt me tt
kj_99263,6,pc tt pe qg qi og
kj_26777,7,pc qe qg tt pf tt pe
kj_33182,7,pc tt qe pf pe tt of
kj_62535,7,pc qe od tt qh tt ld
kj_81669,6,pd nc qf tt kc hd
kj_86444,12,pc qe od tt qg oe ne of qd rd rc ph
kj_67902,12,pd nc qf pc qc qb oc pb od ob nd mc
kj_97574,9,pd tt nc qf qe pf qh rf oh
kj_11209,6,pd kc tt ke ld kd
kj_59705,8,pd nc oc nd pf jd qi tt
kj_31659,8,pc qe qd pe nc qi qk tt
kj_54460,8,pc tt pe tt ph qd qc qj
kj_11905,7,pd tt nc tt qi qf rd
kj_67137,14,pc qe qg od pd pe oe of ne pg ph oh pi oi
kj_19692,6,pc qe nd tt pi qi
kj_79979,15,pd nc tt qf pf pg of qd qc qe nd pe od rc pb
kj_85373,14,pc tt pf qh tt pd qd qe pe od qc qf pg qg
kj_81746,9,pc qe qh od pd pe oe oc ob
kj_69183,13,pd qc pc qd pe rf tt ld tt qg tt og tt
kj_55543,9,pc pe qe qf qd pf nc pj pl
kj_78751,8,pd qc pc qd pe rf qf rg
kj_75572,7,pc tt pe tt lc qg tt
kj_79199,9,pd nc qf tt oc nd kc ic ke
kj_34181,8,pd qc pc qd pe rf tt kh
kj_57265,6,pc qe od qh kc tt
kj_67413,9,pc qe od tt qh oe ne of rd
kj_89817,15,pd nc lc qc pc qd pe pb ob qb nb qf tt mc mb
kj_53766,11,pd nc qf pc qc qb oc pb od ob me
kj_51218,6,pc tt pe qi qg tt
kj_75823,10,pd nc qf tt kc ic ke pc qc qb
kj_22479,9,pd nc qf tt kc ic ke ie oc
kj_64859,7,pc tt qf tt qi ok tt
kj_81714,20,pd qc pc qd qf qe pe rf qb rb re pf qg rd rg of oh mf ld qj
kj_66933,17,pc tt pe pf of qe oe qd pg pd od qc qf oc nc pb ob
kj_32971,10,pd nc qf tt oc nd tt jd tt qi
kj_67391,6,pc tt pe kd tt oc
kj_64414,10,pc qe qi od oc nd mb tt qg ph
kj_65947,7,pd nc tt pf of og nf
kj_23371,6,pc tt qf tt qi pk
kj_94531,14,pd qc pc qd qf qe pe rf qg rg qh kd tt lf
kj_51097,10,pd tt nc qf qi qk oi qd qc rc
kj_67168,8,pc qe nd ph tt lc qd pe
kj_64859,7,pc tt qf tt qi ok tt
kj_92556,22,pd nc tt qf pf pg of qd qc qe pc md le ld kd me kc og pe qh mf nf
kj_93854,7,pd tt nc md nd tt me
kj_81522,6,pd ob nc nb mc qc
kj_21186,6,pc tt pe tt qg qc
kj_15909,12,pc qe od tt qh pf oh rc tt nf ld jc
kj_46363,8,pc tt pe qg qi og oi tt
kj_35526,6,pc tt pf qh rf pk
kj_92864,6,pd nc ne pc qc qb
kj_14634,11,pc qe tt od oc nd mb tt ph qj of
kj_51414,13,pd qc pc qd qf qe pe rf qg rg qh ld lf
kj_83970,10,pd qc pc qd pe rf qf rg ph qb
kj_57954,8,pc qe qg tt pf qc qb rb
kj_36233,15,pd qc pc qd pe rf qg pb ob qb nc qf pf tt rg
kj_26834,14,pd nc tt qf nd md ne me oc mb nb mc nf qi
kj_12323,14,pd qc pc qd pe qe qf rf qg rg qh pb ob qb
kj_71907,12,pd nc lc tt qg qc pc pb qd rb rc qb
kj_95287,8,pd tt nc re qf rf rc qg
kj_12520,7,pc qe nd tt qg tt qk
kj_83525,19,pc tt qf pd qd oc pe od pb oe of nf og ng oh qc ob mc rc
kj_52939,9,pc qe tt od oc nd mc tt qg
kj_40721,6,pc tt qe oc pd ld
kj_77726,12,pd qc pc qd qf rf qg rg qh tt qe re
kj_52638,11,pd tt nc re qf rf tt qc pc qb tt
kj_39722,9,pd nc tt qc pc qd pe rf kc
kj_35211,6,pc qe nd tt jd hc
kj_97574,9,pd tt nc qf qe pf qh rf oh
kj_89433,8,pc qe nd qh qd pe nf oh
kj_52571,6,pc tt pe qg qi tt
kj_98121,12,pc pe qe qf qd pf nc pj pl ql qm qk
kj_81590,11,pd qc pc qd pe qe qf rf qg rg qh
kj_52340,9,pc tt pf tt ld lc mc kc tt
kj_87252,23,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg nc nf ld jc
kj_17203,8,pc qe qd pe nc tt ph mf
kj_36604,6,pd tt oc qf tt rd
kj_22282,16,pd nc qf tt jc pc qc qb oc pb ob od nb qd pe rd
kj_35497,11,pd qc pc qd pe rf tt ld jc mc je
kj_81189,9,pd nc tt kc oc nd pf tt ie
kj_08034,9,pc qe od ph of tt qf pe pf
