定式ID,匹配步数,落子前缀
kj_95202,7,pc qe qd pe nc me tt
kj_62223,7,pc qe od qh tt lc tt
kj_41537,6,pd nc qf tt pb tt
kj_47660,13,pc qe tt nd od oe nc md mc ld lc kd jc
kj_38564,12,pc pe qe qf qd pf nc tt ph mf rh rg
kj_88559,6,pc tt qf tt kd tt
kj_87302,9,pc qe tt od oc nd mb tt qh
kj_02295,14,pd qc pc qd qf rf qg rg qh tt rh qe pe tt
kj_00843,13,pc pd qd oc pe od qc oe pf of og ng nh
kj_22916,12,pc pe qe qf qd pf nc pj tt od nd tt
kj_80674,9,pd tt nc qf qi qk oi ok qe
kj_50611,9,pc qe nd tt qh tt qd rd rc
kj_62823,9,pd nc qf ne pb pg pf og rh
kj_79922,6,pc tt qf ng ph pe
kj_77652,13,pd nc lc pf of og nf qc pc qd pe qe tt
kj_43057,9,pc qe od tt qh pf qk rc ld
kj_92417,9,pc qe tt od oc nd mc tt pi
kj_00636,14,pc pe qe qf qd pg tt nd oe od pd pf nb le
kj_51708,14,pd qc pc qd qf qe pe rf tt qg pf qb pb tt
kj_50773,6,pd nc pf tt oc nd
kj_59219,13,pd qc pc qd qf qe pe rf qg rg qh mc me
kj_55179,11,pd qc pc qd pe qf qb pf tt nf qi
kj_56655,9,pc qe qi od oc nd mb tt qg
kj_16786,7,pd nc nd md ne oc me
kj_17331,21,pd qc pc qd qf qe pe rf qb rb re pf qg rd rg pb ob qa oh tt of
kj_72501,11,pc pe qe qf qd pf nd pj tt ld nf
kj_68101,11,pc pe qe qf qd pf nc pj tt jc tt
kj_77726,12,pd qc pc qd qf rf qg rg qh tt qe re
kj_43939,9,pd tt nc md tt qf qe pf nd
kj_91303,6,pd lc nc le tt qf
kj_53435,6,pc tt pe qg tt og
kj_93071,14,pd qc pc qd pe qe qf rf qg rg qh of qb rb
kj_94214,8,pc tt pe oc od nc pb nd
kj_58922,7,pd qc pc qd pe qe qg
kj_44396,23,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg nc nf og ng
kj_70705,10,pc pe qe qf qd pf nc pj tt qm
kj_04683,6,pd nc kc kd lc ne
kj_92757,31,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me of qb md nc mc nb mb na le mf lf mg kh mi qj
kj_40662,7,pd tt nc tt qf tt kc
kj_19036,6,pd tt lc nc nd qc
kj_20614,12,pc qe qg od pd pe oe of ne pg md pi
kj_63524,6,pd tt nc tt qi lc
kj_74342,15,pc pe qe qf qd pf nd pj tt oc od pd qc nc md
kj_73583,14,pc tt qf pd qd oc pe od pb qc qb rc rb kc
kj_59769,12,pd nc tt kc tt qf pf pg of qe qd ob
kj_34455,19,pd nc tt qf nd md ne pc mc oc ld qd me kc tt kd ke je kf
kj_02483,9,pc qe od qh qd pe mc oe rd
kj_40721,6,pc tt qe oc pd ld
kj_52638,11,pd tt nc re qf rf tt qc pc qb tt
kj_45304,10,pd tt nc md nd qg qi qd qe rd
kj_71652,9,pd qc pc qd pe rf tt ld ic
kj_76464,15,pd nc qf pc qc qb oc pb ob od nb qd pe rd mc
kj_60636,9,pc tt pe qi qg od pd rg rf
kj_71458,10,pd qc pc qd qf rf qg rg qh pk
kj_23150,9,pc tt pe tt lc ld md le kc
kj_85417,8,pd tt nc qf qe pf qj ql
kj_60562,11,pd qc pc qd pe qf qb pf tt nf qj
kj_70596,8,pd nc tt jc lc ne le pf
kj_56622,7,pc pe qe qf qd pf nc
kj_81155,6,pd qc pc qd pe rf
kj_79794,17,pc tt pe pf qf qg pg of qh rg qe ph og qi oh rh nf
kj_60555,7,pd tt nc tt qg tt pj
kj_70847,14,pd nc lc qc pc qd pe pb ob qb nb qf tt jc
kj_28220,11,pc qe tt od oc nd mc tt qh oh md
kj_86368,12,pd qc pc qd pe qe pf qf qg pg qh qb
kj_93508,8,pc pe qe qf qd pf nc kd
kj_40605,12,pd nc oc nd pf jd tt qh qj oh qg rh
kj_28739,10,pc qe nd pi tt lc qd pe mb me
