定式ID,匹配步数,落子前缀
kj_73750,7,pd nc oc nd qf jc hc
kj_62408,7,pc tt qe oc od nc nd
kj_54932,12,pd nc pf qc pc pb qd rb rc qb tt ne
kj_56476,6,pc pe nd qc qb qd
kj_98960,7,pd nc qf pb lc qc nd
kj_62408,7,pc tt qe oc od nc nd
kj_56782,7,pd nc qf tt lc tt oc
kj_54052,6,pc qe tt od oc md
kj_59919,6,pd tt mc qd qe re
kj_48673,8,pd nc kc qf ne qc pc pb
kj_56956,7,pc qe qi od oc nd mc
kj_80702,7,pd nc qf tt oc nd ld
kj_55425,6,pd nc qf pg pf ng
kj_54125,6,pd nc qf pb lc qc
kj_97937,11,pd nc qf tt lc ld kd kc ke lb tt
kj_80775,10,pd nc pf qc pc pb qd rb rc qb
kj_81017,14,pd nc pf qc pc pb ob qb oc re rf qe qf nb
kj_64440,8,pc tt pe qg tt og qf rg
kj_23359,7,pd nc qf pb tt qc tt
kj_62408,7,pc tt qe oc od nc nd
kj_97451,6,pd nc pf ne oc nb
kj_70945,14,pd nc tt qf pf pg of qd qc qe pc md mf jd
kj_75852,7,pd nc pf qc pc pb tt
kj_92851,6,pd tt nc md lb kc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_91261,9,pc tt qe oc od nc pb nd oe
kj_53303,6,pc pe qe qf qd pg
kj_24270,15,pd tt lc nc nd od oe oc md pc qd qc rc rb rd
kj_54932,12,pd nc pf qc pc pb qd rb rc qb tt ne
kj_21575,6,pc qe tt md od jd
kj_92024,6,pc tt qf mc tt qh
kj_87640,10,pd tt nc md nd mf me le ne lh
kj_26212,6,pd tt nc qh qi ph
kj_29911,6,pc tt pe qf pf qg
kj_41157,6,pd nc lc ne qf kd
kj_78261,6,pc tt qf lc tt qh
kj_94479,6,pd nc lc ne ic pf
kj_05153,9,pc tt pf qh tt og ne tt qj
kj_71029,6,pd nc qf tt jc hc
kj_86049,6,pc tt pf tt lc ld
kj_90538,14,pc qe tt od oc nd mc tt qd rd rc pd qc tt
kj_45814,11,pd nc tt qc qd pc od rc tt nd tt
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_90225,6,pd nc qf pb tt ne
kj_53303,6,pc pe qe qf qd pg
