定式ID,匹配步数,落子前缀
kj_21018,19,pd qc pc qd pe qe pf qf tt pg og oh ng nh mg mh lh lg li
kj_06568,11,pd qc pc qd pe rf tt ld qf rg qg
kj_75637,10,pc tt pf qh tt oh tt pd qc nd
kj_98324,6,pc qe nd lc kd ld
kj_78514,19,pc qe qh od pd pe oe nd ne ob pb md me ld qd pg ph og qg
kj_58263,9,pc qe tt od oc nd mc kc tt
kj_61181,21,pc tt pe pf qf qg pg of og qe rf nf re qd pd rg rd ng oi qj qm
kj_46841,9,pc qe od tt qh pf nf rc tt
kj_21151,7,pd tt nc tt qg oi tt
kj_73909,6,pd nc qf ne oc nb
kj_57324,13,pd tt nc qf tt qd qc rc qe rd pe re qb
kj_31271,8,pc qe nd pi tt qi tt oi
kj_81155,6,pd qc pc qd pe rf
kj_21482,13,pc tt pf qh tt pd od qd qc rc nc re ph
kj_45224,10,pd tt nc qf tt of rd md nd me
kj_10180,7,pc qe nd tt qh lc le
kj_31633,7,pd tt nc md nd mf kd
kj_70706,11,pc tt pe oc od nc pb nd le of lc
kj_88883,10,pd qc pc qd pe rf qf qg pg rg
kj_59564,9,pd qc pc qd pe rf lc ld mc
kj_94437,8,pd nc lc jc tt ne pg tt
kj_04949,19,pc tt pf lc tt pd qd qc qe pb oc ob nd nc od md nb mc qb
kj_84484,17,pd qc pc qd qf qe pe rf tt pf qg rg qh of oh ne nc
kj_60027,10,pd nc oc nd pf jc tt qh qj oh
kj_06528,8,pd nc qg qc pc qd pe qe
kj_06200,38,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me mf mc qb re qh rb ra rc le md mb lb nb kc sd sb sf se sg ma na la
kj_61379,9,pc pe qe qf qd pf nc pj ql
kj_81501,7,pc tt pf tt lc tt qi
kj_92386,21,pd qc pc qd qf rf rg qe pf pe oe od pb nd of qb nb nc mb ob me
kj_50807,12,pd qc pc qd pe rf tt qg ld lc md kd
kj_25841,7,pc qe od pg qd pe ld
kj_87148,13,pc tt pf qh tt pd qd qe pe od qc re nd
kj_87393,11,pc qe tt od oc nd mb tt qh oh pj
kj_92109,8,pd nc pf oe pe pb le qc
kj_95660,7,pc qe od tt qh tt oh
kj_54596,10,pd qc pc qd qf rf pe rg tt ph
kj_09549,10,pd nc tt qc pc qd pe rf tt ne
kj_75259,9,pc tt pe oc od nc nd pb qc
kj_51179,6,pc qe od qh tt qk
kj_10540,18,pd nc qf pc qc qb oc pb ob od nb qd pe rd mc tt nf tt
kj_06704,14,pc tt pf mc tt pd od qc ob oe pe qd nd pb
kj_32846,8,pc qe qd pe nc tt qi mf
kj_99086,16,pd nc lc tt nd od oe oc md pc qd qc rc rb rd mb
kj_68383,10,pd nc pf oe oc pe qe nd qd ng
kj_01014,10,pc pe qe qf qd pf nd tt pi tt
kj_83389,9,pc qe tt od oc nd mc md lc
kj_36172,7,pc qe od tt qh pk oh
kj_91914,6,pc qe ph tt qd od
kj_34819,13,pd nc qg qc pc qd pe pb ob qb tt oc pj
kj_33171,11,pc pe qe pd qd oc pb pf qf pg qg
kj_88412,8,pc tt pe qi tt qg qf pg
kj_92120,21,pd nc tt qf pf pg of qd qc qe nd pe od rc pb qb pc kc rb sb qa
kj_38564,12,pc pe qe qf qd pf nc tt ph mf rh rg
kj_20614,12,pc qe qg od pd pe oe of ne pg md pi
kj_45534,15,pd qc pc qd qf qe pe rf tt qg pf qb oh ld jc
kj_46073,12,pd qc pc qd pe rf qf qe tt qg pf qb
kj_80066,8,pd nc lc ne pg kd tt qi
kj_30448,19,pd qc pc qd qf qe pe rf qg rg qh tt rh pb ob qb tt nc tt
kj_06194,13,pd nc nd md ne ob qc tt kd me mf lf le
kj_59938,30,pc tt qf pd od qc qd pe qe oc pb nd oe pf pg of ne og nc qg ph qh oh mf rc qj mh kf kh if
kj_80843,18,pd qc pc qd qf qe pe rf rg qg pf rh qb sg rc rd sd re
kj_29396,6,pc qe nd tt qd kc
kj_28697,6,pd tt ld tt qf nc
kj_92386,21,pd qc pc qd qf rf rg qe pf pe oe od pb nd of qb nb nc mb ob me
kj_47158,9,pd tt nc qf qh qj pj pk pi
kj_47262,7,pc tt pf tt pi tt oi
kj_92386,21,pd qc pc qd qf rf rg qe pf pe oe od pb nd of qb nb nc mb ob me
kj_27626,10,pc tt pf qh qj pd qc qd od rc
kj_05578,17,pd qc pc qd qf rf qg nc qe pb ob qb oc re nd md mc
kj_55988,10,pd qc pc qd pe rf tt le qf rg
kj_64628,7,pc tt pf tt mc qd pd
kj_55343,6,pc qe qd pe nc pi
kj_68306,15,pd qc pc qd qf qe pe rf tt qg pf qb oh lc tt
kj_45573,10,pd nc tt qc pc qd pe qe pf qf
kj_74033,6,pd nc qf tt lc tt
kj_46576,10,pd qc pc qd pe rf tt ld jc lf
kj_47552,8,pc qe od qh kd tt kc tt
kj_99139,6,pd nc lc tt qg jc
kj_85666,10,pc pe qe qf qd pf nd pj tt qm
kj_41349,8,pc qe qg od oc nd nc md
kj_63446,8,pd nc pf tt oc tt nd qc
kj_30386,11,pc tt qh pd oc qd qc rc od pf og
kj_65889,9,pc pe qe qf qd pf nc me tt
kj_38286,7,pc tt pe tt lc ld kd
kj_76118,6,pd tt mc tt qg tt
kj_30597,6,pd nc oc nd nb mb
kj_69820,6,pc qe od ph tt nc
kj_92457,6,pc qe nd lc jc le
kj_74635,15,pd qc pc qd qf qe pe rf tt qg pf qb tt pg ld
kj_25300,9,pd nc nd md ne ob qc jc tt
kj_04465,7,pc tt pe tt qh qg ph
kj_91176,12,pc qe tt od oc nd nc md mc ld tt lc
kj_83389,9,pc qe tt od oc nd mc md lc
kj_17203,8,pc qe qd pe nc tt ph mf
kj_82848,14,pd qc pc qd qf qe pe rf tt qg pf qb ld tt
kj_42347,8,pc qe qd pe nc pi tt pl
kj_67137,14,pc qe qg od pd pe oe of ne pg ph oh pi oi
kj_25660,14,pc qe tt od oc nd mc tt md me le lf ke mf
kj_93484,9,pd nc tt pf of og nf pg nd
kj_34719,21,pc tt qf pd qd oc pe od pb oe of nf og ng ob oh ne me nd nj md
kj_54440,13,pd nc tt qf pf pg of og ng qe qd nh oc
kj_71997,6,pc qe nd qc pd qd
kj_54789,14,pd qc pc qd qf qe pe rf rg qg pf rh pg sg
kj_65424,11,pc tt pe oc od nc nd pb qc lc tt
kj_89725,6,pd nc tt kd tt qf
kj_10461,9,pd nc oc nd pf tt jc tt gc
kj_55543,9,pc pe qe qf qd pf nc pj pl
kj_53461,7,pc tt pf tt ld qd pd
kj_48248,17,pd qc pc qd qe re rf qf pe rg rd sf rc pf ng nf lg
kj_39081,14,pc tt pf mc tt qh tt qd pd qe qc qf pg ph
kj_74738,11,pc pe qe qf qd pf nc pj tt qm kd
kj_83389,9,pc qe tt od oc nd mc md lc
kj_34088,22,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me og rb md pb mc oc
kj_34024,13,pd nc tt qf nd md ne pc qc oc pf qb qe
kj_73887,12,pd nc lc qf pf pg of qc qe qg rd pc
kj_81155,6,pd qc pc qd pe rf
kj_40605,12,pd nc oc nd pf jd tt qh qj oh qg rh
kj_30039,9,pc tt pe qd tt pd od qc ob
kj_46187,8,pc tt qe pf qf ph tt qg
kj_51179,6,pc qe od qh tt qk
kj_72418,8,pc qe nd tt qi qh pi ph
kj_24431,7,pc tt qf tt mc ld md
kj_78261,6,pc tt qf lc tt qh
kj_62075,6,pd tt nc tt qg jc
kj_03048,24,pd qc pc qd qe re rf qf pe rg rd sf rc tt og tt qh rh qi of pf qg ri pg
kj_20908,23,pd nc tt qf pf pg of qd qc qe nd pe od rc pb qb pc rb kc ic ld tt pk
kj_62882,10,pd tt nc re qf rf tt qc pc qb
kj_85538,7,pc qe nd tt jd tt qd
kj_83030,9,pd qc pc qd pe rf tt lc lf
kj_90026,7,pc qe nd pi tt lc pf
kj_13044,15,pd nc qf pc qc qb rb ob qa od pb pe qd tt kd
kj_72418,8,pc qe nd tt qi qh pi ph
kj_35183,8,pc qe nd qh qd pe ld tt
kj_61408,7,pc tt qf kd tt nc tt
kj_67229,10,pc qe tt od oc nd nc md lc tt
kj_70705,10,pc pe qe qf qd pf nc pj tt qm
kj_65155,6,pc tt qf nc tt qi
kj_53381,6,pc tt pf mc tt qe
kj_00973,11,pd tt nc qf qi qk oi ok ng rd qc
kj_54860,8,pc tt pf qd pd rf qc qi
kj_65891,8,pc pe qe qf qd pf nc me
kj_36757,7,pd nc oc nd pf kc ie
kj_82529,30,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me mf mc qb re qh rb ra rc mb lb nb kc le md
kj_29637,8,pc tt pe qg qi og oi nf
kj_75802,7,pd nc nd md ne ob me
kj_74699,14,pd qc pc qd qf qe pe rf tt qg pf qb tt pg
kj_04512,14,pd nc tt qf pf pg of qd qc qe pc ld pi og
kj_59713,10,pc tt pe oc od nc pb nd tt qg
kj_28468,22,pc tt qf pd qd oc pb od pe oe of nf og ng ob oh ne me nd nj md tt
kj_87226,10,pc pe qe qf qd pf nc tt pi tt
kj_25802,9,pd tt mc ld md lf me tt le
kj_48585,35,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg nc nf ld tt of oe ph nd me oh pg ne qi mc nb sf
kj_61379,9,pc pe qe qf qd pf nc pj ql
kj_38850,6,pc tt qe tt lc re
kj_49001,6,pd tt nc lc le md
kj_23771,13,pc qe tt nd pe pd qd od qc re pf qg pg
kj_46477,9,pc pe qe qf qd pf nc pj kd
kj_49447,9,pd nc lc ne pg jc le je pc
kj_35272,15,pc tt qf pd od qc qd pe qe oc pb nd oe pf qg
kj_64717,13,pc qe tt od oc nd mc md lc ld tt kc kb
kj_28209,6,pd nc lc pg of og
kj_93088,10,pc tt pe qg tt oc od nc pb nd
kj_14644,10,pc tt pe qg tt oc od nc qd nd
kj_57146,9,pd tt nc md mc kd tt lc tt
kj_66141,7,pc tt pf tt qi ok tt
kj_19425,21,pc tt qf pd qd oc pe od pb oe of nf og ng ob oh ne pg pf me nd
kj_92417,9,pc qe tt od oc nd mc tt pi
kj_58492,26,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg oe of pg ne nc od ph
kj_89161,19,pd qc pc qd pe rf tt lc tt le tt qg pg ph qf qh oh oi nh
kj_38763,17,pd qc pc qd pe rf tt lc le jd qb rb re qe qf rd rg
kj_57207,14,pd qc pc qd pe rf tt qg oh og pg pf ph qf
kj_61103,14,pd qc pc qd qf qe pe rf qg rg qh of ng tt
kj_31806,6,pc tt qf tt mf tt
kj_51166,17,pd qc pc qd qe re rf qf pe rg rd sf rc tt og pi tt
kj_38207,15,pd qc pc qd qf rf pe rg qb rb re pb ob qa qe
kj_03575,7,pd tt mc tt qf ld lc
kj_50130,6,pc tt pe qg qf pg
kj_18365,10,pd tt nc qf qi qk pk pl ok ql
kj_68039,7,pd nc oc nd pf re kc
kj_37564,7,pc qe od qh kc kd ld
kj_26936,13,pd qc pc qd pe rf tt ld jc jd kd kc ke
kj_31966,9,pc qe od tt qh pf tt rc tt
kj_62471,36,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me of qb md nc mc nb mb na le mf lf mg kh qh rh qi oh mi oj qk
kj_81155,6,pd qc pc qd pe rf
kj_56023,6,pd nc oc jc id nb
kj_84732,15,pc tt pf qh tt pd qd qe pe od qc qf pg qg nd
kj_62504,14,pc pe qh qc qb qd ob nc od pg ph oh oi qg
kj_26539,10,pd tt nc md kd mc nd mf ne me
kj_12581,22,pc pe qe qf qd pf nc pj ql tt pi qi qh rh qj ri oj pk qk oi ph ok
kj_43915,9,pc qe tt od oc nd mc qh pi
kj_15711,6,pd nc qf tt lc jd
kj_85211,11,pc qe nd pi qh qc qb ph qd qg tt
kj_58602,9,pd qc pc qd pe rf qg qf pf
kj_50494,20,pc qe tt od oc nd mc md lc ld kd ke je nc nb ob mb qc pb kf
kj_42165,11,pd qc pc qd pe rf tt qg ld tt ie
kj_85508,9,pc qe qh od oc nd mb oh oi
kj_83708,13,pd qc pc qd qf qe pe rf qb rb re rd rg
kj_33171,11,pc pe qe pd qd oc pb pf qf pg qg
kj_71760,9,pd qc pc qd qf rf qg rg qh
kj_91328,23,pd qc pc qd qf rf rg qe pf pe oe od pb nd of qb nb nc ob lc mb re mc
kj_25902,9,pd tt nc qf qe pf qj me ld
kj_34053,8,pc pd qd oc pe od qc nf
kj_27695,7,pc pe nc qc qb qd rb
kj_88454,19,pd qc pc qd qf qe pe rf qb rb re rd rg pf qg of tt kc ne
kj_04762,14,pc qe tt od oc nd mb tt pg qg qh ph rg qf
kj_56026,7,pc qe tt od qd re nb
kj_87314,23,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg nc nf tt lc
kj_88709,19,pc pe qe qf qd pf nc pj pl ql rh pd qc qh qi pi qg ph rf
kj_04902,9,pc tt pf tt ld qd pd lc qe
kj_88561,9,pd nc oc nd pf tt ld og pg
kj_72447,16,pd qc pc qd qf qe pe rf qb rb re rd rg tt sf pb
kj_74539,10,pc qe tt od oc nd mc tt md jc
kj_95413,9,pc pe qe qf qd pf nc pj tt
kj_77799,6,pc tt pe qg lc re
