定式ID,匹配步数,落子前缀
kj_32097,14,pd nc nd md ne oc pc me mf lf lg od oe pe
kj_58670,7,pc tt qi tt oi pd qd
kj_39443,18,pd tt nc qf qh qd qc rc qe rd pe pc qb pb rb sb re qa
kj_47080,16,pd nc tt qf pf pg of qd qc qe pc md jd mf le me
kj_62393,12,pc pe tt oc ob od nc nb mb pb na qc
kj_96716,7,pd nc qf tt lc pc qc
kj_58802,17,pd qc pc qd qf qe pe rf qb rb rg pf qg pb ob qa of
kj_41046,16,pc tt qf pd qd oc pb od pe oe of nf og ng oh nh
kj_08551,11,pd nc qf pc qc qb oc pb od ob lc
kj_97498,7,pc tt qf tt qi tt oj
kj_70259,6,pc pe qe qf qd tt
kj_82579,19,pd qc pc qd qe re rf qf pe rg rd sf rc pf tt qb rb pb ob
kj_62393,12,pc pe tt oc ob od nc nb mb pb na qc
kj_59525,9,pc qe nd tt qh qc qb pd rc
kj_60458,8,pd nc nd md ne oc pc me
kj_47900,6,pd tt nc re rd pi
kj_06688,22,pd nc tt qf pf pg of qd qc qe nd pe od rc pb qb pc jc rb sb qa qj
kj_95225,22,pd qc pc qd qf qe pe rf tt qg pf qb tt pg og oh ng nh mh mg ne lg
kj_31745,12,pc tt qf pf pg qe pe of qd qg re rf
kj_77772,8,pd pc oc od qc pb ob nd
kj_65488,6,pc qe tt od tt oc
kj_99105,13,pd qc pc qd qe re qf rf qg tt pb rg qh
kj_00652,6,pc qe qg oe nd ne
kj_62461,6,pc tt pf tt kd tt
kj_78726,8,pd kc tt nc oc nd pf kd
kj_21653,6,pc qe nd pi oi ph
kj_89826,12,pd tt mc qf tt qc qd rd pc rb qb rc
kj_18716,11,pc pe qe pd qd oc qf pb qc nd tt
kj_13510,9,pc qe tt od oc md nd ne nc
kj_85726,8,pd nc oc nd pf qc nb mb
kj_34789,7,pd tt nc qi qg oi tt
kj_62581,7,pc tt qf qh tt nc pe
kj_63543,6,pc tt qe oc od nc
kj_83525,19,pc tt qf pd qd oc pe od pb oe of nf og ng oh qc ob mc rc
kj_89176,10,pc pe qe qf qd pf nc tt ne ng
kj_51233,9,pd tt nc md mc kd ld le lc
kj_24841,7,pc tt pe tt qh kd tt
kj_71854,7,pc tt qf pf pg pd od
kj_16616,6,pd tt nc tt qf rd
kj_56956,7,pc qe qi od oc nd mc
kj_52931,9,pc pe qe qf qd pg of og rf
kj_46971,9,pc pe qe qf qd pf nc qj ql
kj_69047,6,pd tt nc qc qd rd
kj_67531,6,pc qe od pg qd pe
kj_74475,8,pc qe nd tt qi tt qd lc
kj_47009,7,pc qe qd pe nd ph qj
kj_73953,12,pc pe qe qf qd pg tt oc ob pd qb nc
kj_65197,6,pd nc oc nd pf kc
kj_61944,7,pc qe nd tt kd qc qb
kj_75179,7,pc tt pf qh qj oh qg
kj_92369,18,pd qc pc qd qf qe pe rf qb rb rg pf qg pb ob qa of pg
kj_87638,9,pd nc qf tt oc nd jc hc lc
kj_75010,22,pd qc pc qd qf rf rg qe pf pe oe of ne pb ob qb mc nf re me nd rd
kj_44591,9,pd nc qf ne pb tt md oc pc
kj_56876,8,pd qc pc qd pe qe qf rf
kj_73505,6,pc tt pf tt mf nc
kj_46545,18,pd qc pc qd pe qe qf rf tt kd tt pf qg rg qh of qb rb
kj_48382,11,pc qe nd pi tt lc ph qh qg pg oh
kj_71794,13,pd nc kd qc pc qd pe pb ob qb oc qf og
kj_92971,12,pd tt nc md tt mc nd nb ob mb tt ne
kj_48864,7,pd tt nc qf rd tt pi
kj_92879,7,pd nc qf tt kc ic ke
kj_12575,16,pd nc lc qc pc qd pe pb ob qb nb qf tt kd kc jd
kj_88883,10,pd qc pc qd pe rf qf qg pg rg
kj_19556,8,pc tt qf tt ld pd od qc
kj_75027,12,pc tt qf pd qd oc pe od pb qc ob mc
kj_68215,9,pc pe qe qf qd pf nc me ld
kj_70515,6,pc qe od qh qj rc
kj_56602,17,pd qc pc qd qf rf rg qe pf pe oe of ne re ph nc qb
kj_46922,16,pd qc pc qd qf qe pe rf rg qg pf rh pg sg qh qi
kj_17362,6,pd tt mc qc pc qd
kj_98368,10,pd qc pc qd qf rf qg rg qh tt
kj_96106,10,pd nc oc nd qf pe qe qc nb qd
kj_47796,8,pd nc pf tt oc tt nd jd
kj_52250,9,pd nc kd pf nd qc oc qd ph
kj_63104,8,pd nc qf tt oc nd jd tt
kj_86914,6,pc qe nd lc tt pd
kj_01281,10,pc pe qe qf qd pf nc pj qi pd
kj_00748,6,pc qe od ph qj qi
kj_65925,19,pd qc pc qd qf qe pe rf qb rb rg pb re pf qg qa rd rc of
kj_77611,7,pc tt qe pf tt qf pe
kj_47009,7,pc qe qd pe nd ph qj
kj_51344,6,pc qe tt mc nd md
kj_72973,9,pd qc pc qd qe re qf rf qg
kj_07095,7,pc tt pf mc tt qh ph
kj_48263,7,pd tt nc qf pf qe pe
kj_75005,18,pd qc pc qd qf qe pe rf qb rb rg pb ob pf qg qa of pg
kj_56638,17,pd nc tt qf pf pg of qd qc qe nd pe od rc pb qb pc
kj_07270,11,pd nc qf tt jc pc qc qb oc pb od
kj_02218,6,qc pd pc od re oc
kj_14192,9,pd nc qf tt lc tt oc nd le
kj_81898,6,pd tt nc tt qh tt
kj_93982,6,pc tt qf tt lc tt
kj_01980,9,pd nc qf tt oc nd jc gc lc
kj_96836,7,pd tt nc tt qg tt pi
kj_60906,6,pc tt pf tt pi oj
kj_51200,13,pd nc qf pc qc qb oc pb od ob nd mc tt
