定式ID,匹配步数,落子前缀
kj_69107,11,pd nc kd qf pf pg of qc qe pc qg
kj_19075,10,pc pe oe qc pd qd of pf pg rf
kj_04704,7,pd tt nc qi qg tt oi
kj_04058,10,pd tt nc re rd qe qd qi tt oi
kj_98295,6,pd nc pf pb qc ld
kj_95864,7,pd tt nc qd qe pc od
kj_21272,6,pd tt nc qf re pc
kj_74845,10,pd nc pf qc pc pb ob qb oc re
kj_11952,6,pd tt nc pi qg pg
kj_33045,9,pc qe tt od pd pe oe nd of
kj_42492,6,pd nc qf tt kc ne
kj_51783,11,pd nc kc qf pf pg of qc qe pc qg
kj_33126,6,pc qe tt lc qd pe
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_38640,7,pc qe ph tt qd pe nd
kj_03974,11,pd nc qf qc pc pb qd rb rc qb qi
kj_79649,9,pc pe qe qf qd pf nc pj mf
kj_51498,6,pd nc qf tt pb ne
kj_75892,7,pd nc oc nd pf kc je
kj_65701,6,pc pe qe qf qd mf
kj_65874,6,pc tt qi ri qh rh
kj_98295,6,pd nc pf pb qc ld
kj_86056,7,pd nc oc nd pf kc jb
kj_53736,6,pd nc pf qh lc ld
kj_58702,8,pc pe qe qf qd tt pf tt
kj_13318,7,pd nc qf pb mc md lc
kj_77452,7,pc pe oe qc pd qd of
kj_30654,7,pd nc pf tt oc nd ld
kj_81956,6,pd nc kd ne pf og
kj_72352,6,pd nc pf tt kc tt
kj_70243,9,pc pe qe qf qd tt pf tt pg
kj_41294,9,pd tt nc re rd qe qd qi pg
kj_97030,6,pd nc qf tt jc pb
kj_57523,12,pd nc kd qc pc qd pe pb ob qb oc qf
kj_61544,6,pc qe tt qh qd pe
kj_60118,6,pd tt nc tt qe tt
kj_17972,7,pc qe tt lc qd pe nc
kj_38632,7,pc pe tt qc tt pb oc
kj_30108,6,pd nc oc nd qf kc
kj_53677,6,pd tt nc qg tt rd
kj_21212,8,pd nc qf tt lc ld kc kd
kj_11618,8,pd nc ob nb oc nd pf kc
kj_51354,12,pd nc qf pc qc qb oc pb od ob nd md
kj_62831,9,pc pe qe qf qd pf nc tt ne
kj_93524,6,pd nc qf pb tt qc
kj_91261,9,pc tt qe oc od nc pb nd oe
kj_75136,7,pd nc kc qc pc qd pe
kj_27854,9,pd nc kd pf nd qc oc qd qh
kj_10851,7,pd tt nc re qd qi qf
kj_35334,6,pd nc qf jc tt ne
kj_03974,11,pd nc qf qc pc pb qd rb rc qb qi
kj_97292,10,pc pe qe qf qd pf nc pj tt le
kj_42776,7,pd nc kc pf nd qc qd
kj_17253,6,pc qe od pg tt mf
kj_77251,12,pd nc qf ne tt qc pc pb qd rb rc qb
kj_61326,7,pd nc pf tt oc tt nd
kj_13318,7,pd nc qf pb mc md lc
kj_57489,9,pc pe qe qf qd pf nc pj pk
kj_42776,7,pd nc kc pf nd qc qd
kj_55351,7,pc qe od tt pf tt qg
kj_92202,6,pd nc qf tt kd ke
kj_45717,14,pd nc kd qc pc qd pe pb ob qb oc qf tt ic
kj_81426,6,pd tt nc qf qh ph
kj_46781,6,pd nc ob jc lc nb
kj_98558,6,pd nc qf pb qc kc
kj_56476,6,pc pe nd qc qb qd
kj_61873,9,pd nc oc nd pf jc lc ld lb
kj_34754,11,pd nc kd tt nd md ne oc pc me mf
kj_23401,9,pc pe qe qf qd pf qj oc ob
kj_17887,8,pc qe od tt pf qc qb rd
kj_70870,7,pc qe ph od pd pe oe
kj_50897,7,pd nc lc qc qd pc od
kj_29298,6,pc pe qg qc mc pd
kj_15351,6,pc tt pe mc ld lc
kj_56322,13,pd nc ld qc pc qd pe pb ob qb oc qf tt
kj_10620,8,pd nc qf pb tt qh qc ne
kj_66153,7,pd tt nc re rd tt qe
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_22854,6,pd nc kd ic nd md
kj_88156,13,pd nc kc qc pc qd pe pb ob qb oc qf hc
kj_69683,8,pd tt nc rd qd re rc qh
kj_42403,6,pd nc qf ne pb ob
kj_39799,6,pc tt qh tt oh nc
kj_45137,7,pd nc oc nd pf kd jf
kj_62637,6,pd tt nc qg qe tt
kj_56622,7,pc pe qe qf qd pf nc
kj_96907,6,pc qe od qh qd pe
kj_50515,8,pc pe qe qf qd pf nc lc
kj_41157,6,pd nc lc ne qf kd
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_46094,9,pc pe qe qf qd pf nc qj pj
kj_70243,9,pc pe qe qf qd tt pf tt pg
kj_50140,7,pd nc oc nd pf ng tt
kj_29962,6,pc tt pe qc qd oc
kj_39717,6,pd nc qf pb qc ld
kj_77044,6,pc pe qg qc qb qd
kj_75698,7,pd nc qf tt oc nd jc
kj_94258,9,pd nc pf tt lc ld kd ke kc
kj_70259,6,pc pe qe qf qd tt
kj_57489,9,pc pe qe qf qd pf nc pj pk
kj_61806,6,pd nc qf tt kd tt
kj_46683,8,pd nc lc ne pf jc oc nb
kj_92079,6,pd nc tt kd ke ld
kj_85482,16,pc qe tt nd pe pd od qd oc oe pf qc nc ne lc rg
kj_54246,9,pc pe tt qc tt pd oc qb tt
kj_27695,7,pc pe nc qc qb qd rb
kj_16971,11,pc pe qe qf qd pg tt nd tt ob pb
kj_47837,8,pd nc lc ld kd md kc pb
kj_09367,12,pd nc lc tt jd qc pc qd pe pb ob qb
kj_33342,7,pd tt nc md mc kd kf
kj_81669,6,pd nc qf tt kc hd
kj_39717,6,pd nc qf pb qc ld
kj_39717,6,pd nc qf pb qc ld
kj_02218,6,qc pd pc od re oc
kj_18716,11,pc pe qe pd qd oc qf pb qc nd tt
kj_95800,6,pc tt qf kd tt nc
kj_45723,6,pd nc qf pb qc ne
kj_60189,8,pc qe tt nd pe pf oe qd
kj_31082,6,pd nc pf pb mc mb
kj_98295,6,pd nc pf pb qc ld
kj_81964,6,pd nc lc tt qf tt
kj_20474,7,pd nc lc tt qf tt ic
kj_70251,7,pc pe qe qf qd tt pf
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_52669,8,pd nc qf tt oc nd tt jd
kj_23119,7,pd nc lc ne oc ob pb
kj_68726,8,pd nc kd tt oc nd pf qh
kj_71842,7,pd nc oc nd qf tt kd
kj_61806,6,pd nc qf tt kd tt
kj_85861,6,pc qe tt mc od rc
kj_12850,10,pc qe qi od oc nd mc qk oi ok
kj_40388,9,pc pe qe qf qd pf nc pj oh
kj_93524,6,pd nc qf pb tt qc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_58702,8,pc pe qe qf qd tt pf tt
kj_70251,7,pc pe qe qf qd tt pf
kj_53123,6,pd nc kd qf nd qc
kj_56322,13,pd nc ld qc pc qd pe pb ob qb oc qf tt
kj_28963,7,pd tt mc ld lf md nc
kj_97451,6,pd nc pf ne oc nb
kj_89225,8,pd nc oc nd pf jc lc lb
kj_00826,8,pc qe tt mc od jc qd pe
kj_85532,7,pd tt nc md nd qg qe
kj_43452,6,pc tt qe tt lc tt
kj_76104,6,pd tt nc tt kd kc
kj_25283,6,pc qe tt md od qh
kj_25987,11,pc pe qe qf qd pf nc pj tt lj tt
kj_94248,8,pc tt qf tt kc kd lc tt
kj_53303,6,pc pe qe qf qd pg
kj_75136,7,pd nc kc qc pc qd pe
kj_43452,6,pc tt qe tt lc tt
kj_40708,19,pd nc lc qc qd pc od nd oc ob pb qb nb pa ne mb md na mf
kj_52538,13,pd nc ld qc pc qd pe pb ob qb oc qf og
