定式ID,匹配步数,落子前缀
kj_77454,6,pc pe oe qc pd qd
kj_88783,12,pd nc qf pc qc qb oc pb od ob rc nd
kj_98558,6,pd nc qf pb qc kc
kj_91261,9,pc tt qe oc od nc pb nd oe
kj_92647,8,pc pe qe qf qd pf nc qj
kj_17536,8,pd nc pf qh qj pj qk oh
kj_18961,8,pd nc ld ne pf pb qc lb
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_46052,7,pd tt nc md mc kd kg
kj_53123,6,pd nc kd qf nd qc
kj_39478,7,pd tt kc nc nd md mc
kj_25051,6,pd nc lc pf nd tt
kj_87669,10,pc pe qe qf qd pf nc pj qm tt
kj_56735,9,pd nc tt qf oe qc pg pc tt
kj_98558,6,pd nc qf pb qc kc
kj_69683,8,pd tt nc rd qd re rc qh
kj_39022,7,pd nc qf tt lc ld kc
kj_39010,6,pc qe od pg tt ld
kj_40433,14,pd nc tt qf pf pg of qd qe re pe rg qc rd
kj_54372,8,pd nc lc tt qf pc qc qb
kj_22993,10,pc qe qi od oc nd mc tt oi tt
kj_62240,7,pd nc qf tt kc pb qc
kj_97642,10,pc pe qe qf qd tt pf qg of qj
kj_92736,6,pc tt qe tt kc tt
kj_74033,6,pd nc qf tt lc tt
kj_97642,10,pc pe qe qf qd tt pf qg of qj
kj_19775,12,pc qe tt od oc nd mc nc nb mb lb md
kj_66243,8,pd nc ld qc pc qd pe pb
kj_13318,7,pd nc qf pb mc md lc
kj_42820,6,pc qe od tt qi pj
kj_40299,6,pd nc qf pb qc tt
kj_04422,6,pd lc tt nc oc nd
kj_88583,13,pd qc pc qd qe re qf rf qg pb ob qb nc
kj_92647,8,pc pe qe qf qd pf nc qj
kj_28203,7,pd tt mc tt qe ld md
kj_77452,7,pc pe oe qc pd qd of
kj_75682,7,pc pe qe pd qd oc qf
kj_25173,11,pd nc qf tt lc ld kd ke kc md tt
kj_41157,6,pd nc lc ne qf kd
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_19247,7,pc pe qg qc qb qd mc
kj_93524,6,pd nc qf pb tt qc
kj_92647,8,pc pe qe qf qd pf nc qj
kj_84970,9,pd nc qf ne pb pg pf og of
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_08848,8,pd nc qf pb md mc ld nd
kj_75682,7,pc pe qe pd qd oc qf
kj_36783,8,pc tt qi pe qe qf qd oh
kj_98295,6,pd nc pf pb qc ld
kj_13318,7,pd nc qf pb mc md lc
kj_73819,6,pd nc lc ne kd pf
kj_16805,10,pd nc lc ld kc pf nd md mc qd
kj_63490,6,pd nc lc pf tt ne
kj_92717,13,pc qe tt od oc nd mc tt qd rd rc pd qc
kj_69683,8,pd tt nc rd qd re rc qh
kj_93524,6,pd nc qf pb tt qc
kj_62305,11,pd nc tt qf pf pg of qd qc qe pc
kj_39717,6,pd nc qf pb qc ld
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_58702,8,pc pe qe qf qd tt pf tt
kj_28946,6,pd nc lc ne qf jc
kj_04425,7,pd nc lc ne pf pb le
kj_13318,7,pd nc qf pb mc md lc
kj_92736,6,pc tt qe tt kc tt
kj_33670,14,pd nc qf tt kc pc qc qb oc pb od ob rc nd
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_65955,6,pd tt nc mc nd md
kj_43452,6,pc tt qe tt lc tt
kj_98558,6,pd nc qf pb qc kc
kj_93524,6,pd nc qf pb tt qc
kj_77254,7,pd nc lc ne oc nb pf
kj_15013,6,pd nc qf tt ld ne
kj_83160,8,pc qe od qh qj tt oj oh
kj_49882,8,pd tt nc qi tt qf qe pf
kj_10851,7,pd tt nc re qd qi qf
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_65414,8,pd tt nd qd qc qe rc pe
kj_27020,6,pd tt mc tt qe kc
kj_00304,16,pd tt mc qc qd pc oc ob nb od nc rd re rc qf pb
kj_34484,6,pd nc lc tt nd kd
kj_97451,6,pd nc pf ne oc nb
kj_69091,12,pd nc kd qf pf pg of qc qe pc qg tt
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_98295,6,pd nc pf pb qc ld
kj_18539,8,pd nc oc nd pf qc ob qe
kj_79359,7,pd tt nc qd qc qe rc
kj_49922,6,pc qe tt nc od nd
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_94800,8,pd tt mc qd qc qe rc qh
kj_95289,7,pd nc lc tt oc nd pf
kj_02817,10,pc pe qe qf qd pf nc tt qh pj
kj_83745,9,pd tt nc rd qd re rc rb qc
kj_54559,7,pd tt nc rd rf qc pc
kj_56326,12,pd nc ld qc pc qd pe pb ob qb oc qf
kj_91320,11,pc qe tt od oc nd mc tt qg og md
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_07334,7,pd nc qf pb qc ld tt
kj_09251,13,pd nc lc ne pf kd ld le kc jd jc id hc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_27212,15,pc qe tt nd pe pd od qd oc oe pf qc nc of pg
kj_73616,9,pc tt pe qc qd pb qb oc rc
kj_83508,8,pd kc tt nc oc nd pf tt
kj_40072,7,pc tt pe tt ph tt qk
kj_62637,6,pd tt nc qg qe tt
kj_54618,9,pc pe qe qf qd pf nc tt qi
kj_84149,8,pd tt mc qd qe re pe rd
kj_23588,10,pd tt nd qd qc qe rc pe od qh
kj_21040,7,pc qe qd pe od qi tt
kj_53677,6,pd tt nc qg tt rd
kj_19675,6,pd nc ld ne pf lf
kj_98558,6,pd nc qf pb qc kc
kj_16530,6,pd nc kc qf nd md
kj_71636,6,pd nc lc tt qf jc
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_58322,7,pd nc qf tt lc jc jd
kj_93423,6,pc qe qd pe nd qh
kj_21467,6,pd nc qf qi pb tt
kj_53303,6,pc pe qe qf qd pg
kj_97237,8,pd nc lc tt nd od oc oe
kj_47660,13,pc qe tt nd od oe nc md mc ld lc kd jc
kj_81964,6,pd nc lc tt qf tt
kj_33670,14,pd nc qf tt kc pc qc qb oc pb od ob rc nd
kj_88653,8,pc pe qe pd qd oc qc pf
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_50897,7,pd nc lc qc qd pc od
kj_89273,7,pd nc kd ne pf ng ph
kj_91995,7,pc qe ph tt qd od pd
kj_55375,6,pc pe tt oc ob od
kj_56476,6,pc pe nd qc qb qd
kj_75682,7,pc pe qe pd qd oc qf
kj_28549,8,pc pe tt qc qg pd oc rd
kj_19247,7,pc pe qg qc qb qd mc
kj_64152,6,pd nc qf pb lc ne
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_02601,7,pd tt lc nc nd oc od
kj_78676,10,pd tt nc re qe rd rf qf qg pf
kj_75941,9,pc tt qe pb ob oc od nc nb
kj_80093,9,pc pe qe qf qd pf nc qj qh
kj_58942,8,pc qe qi od oc nd mc tt
kj_06069,11,pd nc lc ne pf kd oc nb ld le ke
kj_13318,7,pd nc qf pb mc md lc
kj_33756,7,pd nc qf ne pb pg qg
kj_23753,6,pc tt qe pf rg oc
kj_40433,14,pd nc tt qf pf pg of qd qe re pe rg qc rd
kj_79649,9,pc pe qe qf qd pf nc pj mf
kj_35127,6,pd nc qf ne pb nh
kj_93524,6,pd nc qf pb tt qc
kj_46971,9,pc pe qe qf qd pf nc qj ql
kj_96090,6,pd nc qf tt kd kc
kj_13318,7,pd nc qf pb mc md lc
kj_49922,6,pc qe tt nc od nd
kj_20474,7,pd nc lc tt qf tt ic
kj_23359,7,pd nc qf pb tt qc tt
kj_90348,13,pd qc pc qd qe re rf qf pe rg rd sf rc
kj_58766,7,pc tt pe tt lc qg qi
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_94258,9,pd nc pf tt lc ld kd ke kc
kj_32179,6,pd nc qf pb qi tt
kj_51354,12,pd nc qf pc qc qb oc pb od ob nd md
kj_67473,10,pc pe qe qf qd pf nc pj tt jc
kj_32179,6,pd nc qf pb qi tt
kj_71522,7,pd nc nd od oc oe pc
kj_13318,7,pd nc qf pb mc md lc
kj_65500,6,qc pd pc od qd pf
kj_40433,14,pd nc tt qf pf pg of qd qe re pe rg qc rd
kj_67699,13,pd nc tt qf nd md oc ne od nb me ld nf
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_18716,11,pc pe qe pd qd oc qf pb qc nd tt
kj_71644,13,pd nc kc qc pc qd pe pb ob qb oc qf je
kj_75678,9,pc pe qe pd qd oc qf pb qc
kj_01576,20,pd nc lc qf nd md mc qd qc od ne pc pe oe of oc pf nf me qe
kj_85829,10,pc qe tt od oc nd mc tt ic tt
kj_75546,7,pc qe qd pe nc qi tt
kj_47515,7,pd tt nc qf rd tt qi
kj_19247,7,pc pe qg qc qb qd mc
kj_21858,6,pc pe tt qc tt qi
kj_26979,8,pd tt nc md nd mf tt qf
kj_72352,6,pd nc pf tt kc tt
kj_62571,11,pd nc tt qf nd md ne pc qc oc rd
kj_19033,9,pd nc qf tt oc nd tt kc tt
kj_26437,8,pd nc kd qf nd md ne pc
kj_51168,11,pd nc lc qf nd qc qd pc od nb rd
kj_75682,7,pc pe qe pd qd oc qf
kj_82225,6,pd tt mc qc qd pc
kj_56003,10,pc pe qe qf qd pf nc tt ph tt
kj_67257,7,pd nc qf tt oc nd jd
kj_25755,7,pd nc ld me le mf lf
kj_03907,6,pc pe oe of od pg
kj_75698,7,pd nc qf tt oc nd jc
kj_54557,8,pd tt nc rd rf qc pc qe
kj_40721,6,pc tt qe oc pd ld
kj_13318,7,pd nc qf pb mc md lc
kj_44117,6,pd nc lc ne tt pb
kj_63524,6,pd tt nc tt qi lc
kj_14529,6,pd nc qf qi tt pb
kj_53303,6,pc pe qe qf qd pg
kj_58401,6,pc tt qf kc mc tt
kj_50897,7,pd nc lc qc qd pc od
kj_57643,6,pc pe qe qf qd pf
kj_58702,8,pc pe qe qf qd tt pf tt
kj_06112,8,pc qe qd pe nc qi tt kc
kj_56514,8,pc qe pg tt pe qd pd qg
kj_53303,6,pc pe qe qf qd pg
kj_57643,6,pc pe qe qf qd pf
kj_50897,7,pd nc lc qc qd pc od
kj_54559,7,pd tt nc rd rf qc pc
kj_97388,10,pc qe tt nd pe pd od qd oc oe
kj_77452,7,pc pe oe qc pd qd of
kj_65488,6,pc qe tt od tt oc
kj_06060,8,pc tt qf qi pi qh ph rf
kj_93409,6,pd nc lc ne pf pb
kj_24766,8,pc pe qg qc qd pd qe qf
kj_54310,6,pc pe oe of od pf
kj_21751,8,pd nc qf tt kc tt pc tt
kj_65189,7,pd nc oc nd pf kc tt
kj_72507,7,pc tt qf kc tt nc tt
kj_58702,8,pc pe qe qf qd tt pf tt
kj_19910,9,pc tt qi pe nc qc qb qd rb
kj_29940,11,pd tt mc qd qe re qc rd pe rc qb
kj_70870,7,pc qe ph od pd pe oe
kj_56476,6,pc pe nd qc qb qd
kj_51137,12,pd nc lc qf nd qc qd pc od nb rd rc
kj_36941,8,pd nc qf tt jc tt oc nd
kj_70870,7,pc qe ph od pd pe oe
kj_25755,7,pd nc ld me le mf lf
kj_77452,7,pc pe oe qc pd qd of
kj_26437,8,pd nc kd qf nd md ne pc
kj_07334,7,pd nc qf pb qc ld tt
kj_82355,9,pc pe qe qf qd tt pf qg of
kj_00826,8,pc qe tt mc od jc qd pe
kj_98558,6,pd nc qf pb qc kc
kj_88447,11,pc pe qe qf qd pf nc tt pj pl nj
kj_77452,7,pc pe oe qc pd qd of
kj_88653,8,pc pe qe pd qd oc qc pf
kj_78490,6,pd nc qf tt oc tt
kj_88206,9,pd nc qf qc pc pb ob qb oc
kj_92024,6,pc tt qf mc tt qh
kj_04162,8,pd nc qf pb tt ne md nd
kj_75682,7,pc pe qe pd qd oc qf
kj_46971,9,pc pe qe qf qd pf nc qj ql
kj_51290,7,pd nc nd md oc ne od
kj_13318,7,pd nc qf pb mc md lc
kj_63539,8,pc tt qe oc od nc pb tt
kj_37642,6,pd tt nc tt qg qd
kj_25765,7,pc tt qf ld tt nc tt
kj_99263,6,pc tt pe qg qi og
kj_70259,6,pc pe qe qf qd tt
kj_83361,7,pc pe qe qf qd pg nd
kj_82018,7,pc qe tt od oc nd mc
kj_09041,11,pd nc tt qf nd md ne oc pc me qe
kj_65189,7,pd nc oc nd pf kc tt
kj_24653,8,pd nc kd qf nd qc qd md
kj_29045,6,pc tt qf tt mc qi
kj_89232,8,pd nc tt qf oe kd tt ph
kj_17362,6,pd tt mc qc pc qd
kj_31334,10,pd nc qf ne tt pg pf og rh tt
kj_57541,6,pc pe tt oc tt od
kj_25666,8,pd tt nc qf re rf qe pf
kj_98558,6,pd nc qf pb qc kc
kj_01576,20,pd nc lc qf nd md mc qd qc od ne pc pe oe of oc pf nf me qe
kj_52931,9,pc pe qe qf qd pg of og rf
kj_53721,6,pc qe od tt lc tt
kj_81633,12,pd nc pf tt lc qc pc pb qd rb rc qb
kj_61222,9,pd nc pf tt oc tt nd rf rd
kj_65183,8,pd nc oc nd pf kc tt kd
kj_15298,7,pc qe ph tt qd tt pe
kj_00949,18,pc qe tt nd pe pd od qd oc oe pf qc nc ne lc rg md og
kj_53509,6,pc qe od tt pf qg
kj_77454,6,pc pe oe qc pd qd
kj_90595,13,pd nc qf pc qc qb oc pb od ob rc lc tt
kj_23359,7,pd nc qf pb tt qc tt
kj_35117,6,pc qe od qh qi ph
kj_82018,7,pc qe tt od oc nd mc
kj_34481,6,pd nc lc ld kc qf
kj_01576,20,pd nc lc qf nd md mc qd qc od ne pc pe oe of oc pf nf me qe
kj_85829,10,pc qe tt od oc nd mc tt ic tt
kj_75546,7,pc qe qd pe nc qi tt
kj_47515,7,pd tt nc qf rd tt qi
kj_19247,7,pc pe qg qc qb qd mc
kj_21858,6,pc pe tt qc tt qi
kj_26979,8,pd tt nc md nd mf tt qf
kj_72352,6,pd nc pf tt kc tt
kj_62571,11,pd nc tt qf nd md ne pc qc oc rd
kj_19033,9,pd nc qf tt oc nd tt kc tt
kj_26437,8,pd nc kd qf nd md ne pc
kj_51168,11,pd nc lc qf nd qc qd pc od nb rd
kj_75682,7,pc pe qe pd qd oc qf
kj_82225,6,pd tt mc qc qd pc
kj_75698,7,pd nc qf tt oc nd jc
kj_54557,8,pd tt nc rd rf qc pc qe
kj_40721,6,pc tt qe oc pd ld
kj_13318,7,pd nc qf pb mc md lc
kj_44117,6,pd nc lc ne tt pb
kj_63524,6,pd tt nc tt qi lc
kj_14529,6,pd nc qf qi tt pb
kj_53303,6,pc pe qe qf qd pg
kj_05820,8,pd nc oc nd pf kc ie ke
kj_56948,8,pc qe qi od oc nd mc qk
kj_75892,7,pd nc oc nd pf kc je
kj_59444,6,pd nc qf pb mc mb
kj_41157,6,pd nc lc ne qf kd
kj_94660,6,pc tt qe kc tt oc
kj_54125,6,pd nc qf pb lc qc
kj_14420,7,pd tt nc tt qe mc md
kj_54675,6,pd nc qf tt nd md
kj_13318,7,pd nc qf pb mc md lc
kj_50897,7,pd nc lc qc qd pc od
kj_57643,6,pc pe qe qf qd pf
kj_99086,16,pd nc lc tt nd od oe oc md pc qd qc rc rb rd mb
kj_96216,7,pd nc qf tt lc jc tt
kj_82403,10,pc pe qe qf qd pf nc tt mf tt
kj_51405,10,pc pe qe qf qd pf nc pj tt me
kj_83001,8,pd nc qf tt oc nd jd hc
kj_97004,7,pc tt qf tt lc tt le
kj_86959,15,pd nc lc qf nd md mc qd oc qc tt nb ob ne od
kj_81072,8,pc qe tt mc nd md ne me
kj_58702,8,pc pe qe qf qd tt pf tt
kj_75682,7,pc pe qe pd qd oc qf
kj_46079,11,pd nc pf qc pc pb qd rb rc qb lc
kj_77452,7,pc pe oe qc pd qd of
kj_19247,7,pc pe qg qc qb qd mc
kj_75682,7,pc pe qe pd qd oc qf
kj_26251,6,pd tt nc qi tt rd
kj_80301,6,pd tt nc tt ph qf
kj_68721,6,pd nc qf tt qi tt
kj_26251,6,pd tt nc qi tt rd
kj_80301,6,pd tt nc tt ph qf
kj_68721,6,pd nc qf tt qi tt
kj_38397,6,pd tt kc tt nc tt
kj_98558,6,pd nc qf pb qc kc
kj_17871,8,pd tt nc qd qe re rd qc
kj_13318,7,pd nc qf pb mc md lc
kj_92736,6,pc tt qe tt kc tt
kj_74791,13,pd nc qf tt lc ld kd kc ke lb tt mc kb
kj_17262,10,pd tt nc od oc qd tt pe pc qc
kj_75682,7,pc pe qe pd qd oc qf
kj_45941,6,pc tt qe pf pe of
kj_00778,6,pd tt nc kc tt qg
kj_81964,6,pd nc lc tt qf tt
kj_29962,6,pc tt pe qc qd oc
kj_24417,8,pd nc oc nd pf tt kf kg
kj_50897,7,pd nc lc qc qd pc od
kj_80211,6,pc tt pe tt ph tt
