定式ID,匹配步数,落子前缀
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_83001,8,pd nc qf tt oc nd jd hc
kj_13510,9,pc qe tt od oc md nd ne nc
kj_27813,6,pc qe tt md od pg
kj_98295,6,pd nc pf pb qc ld
kj_63024,18,pd nc qf tt lc pc qc qb oc pb od qd rc rd rb ra ob sc
kj_13175,16,pd nc lc pf nd md mc qd oc qc tt nb ob ne od tt
kj_53303,6,pc pe qe qf qd pg
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_95289,7,pd nc lc tt oc nd pf
kj_29298,6,pc pe qg qc mc pd
kj_59942,8,pd nc qf qc pc pb ob qb
kj_41157,6,pd nc lc ne qf kd
kj_82609,7,pd tt mc qf qe pf pi
kj_27813,6,pc qe tt md od pg
kj_77452,7,pc pe oe qc pd qd of
kj_91560,6,pd nc oc nd pf ke
kj_92736,6,pc tt qe tt kc tt
kj_88936,8,pd tt nc qf tt of rd tt
kj_70870,7,pc qe ph od pd pe oe
kj_83639,6,pc tt pe kc tt qg
kj_30758,8,pc qe tt qh qd pe nc tt
kj_71029,6,pd nc qf tt jc hc
kj_27027,6,pd tt lc tt qf nc
kj_05788,7,pd tt nc qd qc qe pe
kj_03715,7,pd nc qf pb qc kd tt
kj_42799,9,pc qe od qh qi pi qj pj rh
kj_46867,8,pc pe qe qf qd pf tt qj
kj_38640,7,pc qe ph tt qd pe nd
kj_42776,7,pd nc kc pf nd qc qd
kj_36757,7,pd nc oc nd pf kc ie
kj_77954,10,pd nc qf tt lc ne le pb qc ng
kj_69007,7,pd tt lc ld md le kc
kj_55263,12,pd nc jc qc pc qd pe pb ob qb oc qf
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_92647,8,pc pe qe qf qd pf nc qj
kj_55159,8,pd nc lc ne pf kd oc nb
kj_39164,7,pd nc qf tt lc tt pc
kj_86083,6,pd nc qf pb tt qj
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_48322,7,pc tt qi pe qe qf qd
kj_96617,6,pc qe od tt qh ld
kj_91920,13,pd tt mc qc qd pc oc ob nb od nc rd re
kj_98558,6,pd nc qf pb qc kc
kj_74759,6,pc tt qe pf qf ph
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_95942,6,pd tt nc qd qe pc
kj_80299,7,pd nd pf pc qc oc qb
kj_52155,6,pd nc kd le ke lf
kj_88239,7,pd nc jc qf pf pg of
kj_43452,6,pc tt qe tt lc tt
kj_07334,7,pd nc qf pb qc ld tt
kj_27951,10,pd nc qf ne tt qc pc pb ob qb
kj_53303,6,pc pe qe qf qd pg
kj_20474,7,pd nc lc tt qf tt ic
kj_98295,6,pd nc pf pb qc ld
kj_75924,8,pd nc oc nd pf tt kc tt
kj_70870,7,pc qe ph od pd pe oe
kj_97642,10,pc pe qe qf qd tt pf qg of qj
kj_14818,6,pd nc qf qj tt pb
kj_56476,6,pc pe nd qc qb qd
kj_97642,10,pc pe qe qf qd tt pf qg of qj
kj_17436,6,pc tt pe tt kc ke
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_39164,7,pd nc qf tt lc tt pc
kj_96652,8,pc pe tt qc qb qd mc kc
kj_08848,8,pd nc qf pb md mc ld nd
kj_71774,10,pc qe qi od oc nd nc md lc qk
kj_05820,8,pd nc oc nd pf kc ie ke
kj_53303,6,pc pe qe qf qd pg
kj_02791,17,pc qe tt od oc nd mc tt md me le mf lf mg lg lh mh
kj_24766,8,pc pe qg qc qd pd qe qf
kj_89353,8,pd nc pf ne oc nb nf mf
kj_41791,7,pc tt qf tt lc tt id
kj_91262,8,pc tt qe oc od nc pb nd
kj_76644,7,pd nc oc nd pf jc hc
kj_86941,21,pd nc lc qc qd pc od nd oc ob pb qb nb pa ne mb md na tt me nf
kj_49809,6,pd nc lc tt qf ne
kj_77948,6,pd tt mc tt qe oc
kj_71532,10,pc qe qi od oc nd nc md lc tt
kj_96243,6,pd nc tt qf oe qc
kj_62800,7,pd nc lc qf nd tt qh
kj_57420,11,pc pe qe qf qd pf nc pj tt pd qc
kj_80093,9,pc pe qe qf qd pf nc qj qh
kj_56322,13,pd nc ld qc pc qd pe pb ob qb oc qf tt
kj_43452,6,pc tt qe tt lc tt
kj_21129,9,pc pe tt qc qb qd mc rb tt
kj_13318,7,pd nc qf pb mc md lc
kj_78312,13,pd nc qg qc pc qd pe pb ob qb oc qe qf
kj_92647,8,pc pe qe qf qd pf nc qj
kj_53267,6,pd kc tt nc oc nd
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_83001,8,pd nc qf tt oc nd jd hc
kj_37429,10,pc pe qe pd qd oc qf pb qc nd
kj_98040,10,pd qc pc qd qe re rf pb ob oc
kj_85880,9,pd nc qf pb tt qh nd md ne
kj_19247,7,pc pe qg qc qb qd mc
kj_98558,6,pd nc qf pb qc kc
kj_12438,6,pc tt pe kd tt nc
kj_56622,7,pc pe qe qf qd pf nc
kj_65450,7,pd tt nc tt qh qf qe
kj_88110,12,pd tt nc re qe rd rf pc qf oc od nb
kj_71636,6,pd nc lc tt qf jc
kj_75682,7,pc pe qe pd qd oc qf
kj_84027,8,pc pe qe qf qd pf nc le
kj_07051,7,pd tt lc qc qd pc od
kj_83722,14,pd nc kd qc pc qd pe pb ob qb oc qf gd tt
kj_15013,6,pd nc qf tt ld ne
