定式ID,匹配步数,落子前缀
kj_24322,18,pd tt nc re rd qd qe qc rc pe qf pc od rf rb qg pf mc
kj_09611,10,pc qe od qh tt lc qd pe qj nc
kj_84211,7,pc qe nd qc qb pb rb
kj_60340,10,pc qe tt od oc nd mc tt md qh
kj_93103,8,pc tt pe qg tt oc od nc
kj_20696,7,pd tt nc tt qg md kc
kj_40294,17,pd qc pc qd qf qe pe rf tt qg pf qb tt pg tt ng mf
kj_59569,9,pd nc tt qc qd pc od mb me
kj_62294,11,pd nc qf tt lc pc qc qb rc od pb
kj_23300,8,pc tt pe qg qi og oi qd
kj_69715,7,pd tt nc rd qd re rc
kj_50184,25,pc qe qh od pd pe oe oc ob md pf pb qb qc pa qd pb rb mc of ne nd ld me nf
kj_77726,12,pd qc pc qd qf rf qg rg qh tt qe re
kj_82401,10,pd qc pc qd pe qe pf qf qg tt
kj_61474,8,pc pe qe qf qd pf nc pj
kj_49260,17,pc qe tt od oc nd mc tt md me le mf lf mg lg mh qd
kj_59050,14,pd qc pc qd qe re rf qf pe rg rd sf rc pf
kj_67878,13,pd nc qf pc qc qb oc pb od ob nd mc md
kj_56833,12,pc pe qe qf re rf pf oe pg qh ph qi
kj_57673,7,pc qe ph od oc nd mb
kj_93206,19,pd pc oc qc od re qf qe pf ob nb pb tt pe oe of ph og qi
kj_34545,8,pc qe nd lc tt me pf qg
kj_14613,8,pc qe od tt pf tt qg kd
kj_75203,10,pd tt nc md tt nd mc lc od kd
kj_59746,7,pd tt nc tt qh qf tt
kj_96497,6,pc tt pf qh ql tt
kj_72613,23,pc tt pe pf qf qg pg of og qe rf nf re qd pd rg rd ng oi tt nh tt lh
kj_59102,20,pd nc lc tt nd od oe oc md pc qc qd pe rc qb rb rf re mc pb
kj_76788,17,pc tt qf pd qd oc pe od pb oe of nf ob og pf ni tt
kj_30151,10,pc pe qe qf qd pf nc tt me tt
kj_72074,9,pd tt mc ld lc kd tt md nc
kj_87133,7,pd nc oc nd pf tt mg
kj_79865,15,pd nc nd md ne ob pb pc qc oc qb me mf lf mg
kj_61177,14,pd qc pc qd qf qe pe rf tt qg pf qb pb le
kj_69600,9,pd qc pc qd pe rf kc qg tt
kj_29927,9,pc tt pe qi tt oc od nc pb
kj_53938,13,pd qc pc qd qf qe pe rf qg rg qh le kd
kj_97023,9,pc qe tt od oc nd mc pi tt
kj_97947,8,pc qe qh od oc nd mb tt
kj_13764,6,pd nc qf ne tt kd
kj_44407,24,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg nc nf ld jc kc
kj_66730,16,pd qc pc qd qf qe pe rf tt qg pf pb ob qb nc tt
kj_79649,9,pc pe qe qf qd pf nc pj mf
kj_94822,8,pd qc pc qd pe qe pf qf
kj_71404,28,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me of rb mc md lc kd qb sf sb rc ra rh
kj_81155,6,pd qc pc qd pe rf
kj_16775,13,pc qe qg od pd pe oe of ne pg ph oh pi
kj_20614,12,pc qe qg od pd pe oe of ne pg md pi
kj_58836,6,pc tt qe tt kc kd
kj_64195,9,pc qe qh od oc nd mc tt oh
kj_58636,6,pd tt nc md mc tt
kj_55242,6,pc qe od qh tt of
kj_65113,17,pc qe tt od oc nd mc tt md me le lf mf ne ke kf mg
kj_37556,17,pc tt qf pd qd oc pb od pe oe of nf og ng oh qc qb
kj_87221,17,pd qc pc qd qf qe pe rf qb rb re pf qg rd of rg qh
kj_12221,14,pd qc pc qd qf qe pe rf qg rg qh tt ke of
kj_35515,8,pc qe qd pe nc pi tt ol
kj_15310,10,pd nc kd pf of qc pc qd pe qe
kj_24403,8,pc qe nd lc qh pg qd pe
kj_50348,12,pd nc qf tt lc ld kd ke kc md tt pg
kj_97234,10,pd qc pc qd qf qe pe rf tt kd
kj_11098,9,pd nc nd qc qd pc oc ob od
kj_71652,9,pd qc pc qd pe rf tt ld ic
kj_18659,16,pd nc lc qc pc qd pe pb ob qb nb qf tt kd ld ke
kj_66337,7,pc qe od pf tt ne lc
kj_08075,6,pc tt qf tt ni tt
kj_68141,9,pd qc pc qd pe rf tt kg tt
kj_26321,9,pd nc lc jc tt ne pg je pc
kj_81155,6,pd qc pc qd pe rf
kj_62785,22,pd qc pc qd qf qe pe rf qb rb re pb rc qa rd qb rg pf qg nc nf kd
kj_25619,11,pd nc oc nd tt qf pf pg of qe pe
kj_44039,10,pd qc pc qd qf rf qg rg qh ql
kj_87882,16,pd nc tt qf pf pg of re qc kc md mc pi og ng nh
kj_82635,15,pd tt ld qc pc qd qe re rf qf pe rg rd sf rc
kj_79925,9,pd qc pc qd pe rf tt lc kf
kj_39627,31,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me of qb md nc mc nb mb na le mf kg lh lf mg qj
kj_82825,11,pc qe nd tt kd qc qb pb ob pd pa
kj_98232,8,pc tt pe qg qf pg nf nh
kj_65151,10,pd qc pc qd qf rf qg rg qh ld
kj_33776,8,pc qe qd od oc nd re nc
kj_71378,8,pc qe od tt pf qg tt nc
kj_21744,13,pc qe tt od oc nd mc md lc ld qd re tt
kj_08455,10,pc qe od tt qh pf nf rc oh qb
kj_56026,7,pc qe tt od qd re nb
kj_72582,6,pd tt nc qi qf oi
kj_02470,29,pd qc pc qd qf rf rg qe pf pe oe od ob nd ne me mf mc le md qb re kc qg nf pg lb lf ke
kj_79634,11,pd qc pc qd pe qf tt rg tt lc ic
kj_02972,10,pc pe qe qf qd pf tt oc ob pd
kj_47474,6,pd tt nc tt qg pg
kj_31164,15,pd qc pc qd qf qe pf pe oe pb ob qb nc of ne
kj_96483,12,pd qc pc qd qf qe pe rf tt qg pf qb
kj_45423,7,pc qe qd pe nd tt of
kj_28250,24,pd qc pc qd qf rf rg qe pf pe oe of ne pb ob qb mc nf re me nd oc od rd
kj_97525,6,pc tt pf tt lc pd
kj_29754,9,pc qe qi od oc nd mb qk qg
kj_78751,8,pd qc pc qd pe rf qf rg
kj_66933,17,pc tt pe pf of qe oe qd pg pd od qc qf oc nc pb ob
kj_87757,10,pd nc nd md ne pc qc oc qd qg
kj_53303,6,pc pe qe qf qd pg
kj_04711,14,pd qc pc qd qf qe pe rf qg rg qh tt ke kd
kj_89954,11,pd qc pc qd pe rf tt ld tt qg ng
kj_30108,6,pd nc oc nd qf kc
kj_48318,23,pd qc pc qd pe qe qf rf tt pf qg rg of pg qh ph qi pi pj qj qk rj oj
kj_67473,10,pc pe qe qf qd pf nc pj tt jc
kj_84713,6,pc qe od tt qh pk
kj_97776,16,pd qc pc qd qf qe pe rf tt qg pf qb tt pg ld jc
kj_92493,7,pc tt qe pf qf ph tt
kj_37681,7,pc tt pe tt qh kc tt
kj_29184,7,pc tt qf kc mc tt le
kj_58697,7,pc qe nd pi qd pe oi
kj_97664,9,pd qc pc qd qf rf pe rg lc
kj_44304,8,pc tt pe qg qi pi ph qh
kj_28744,7,pd tt mc qf qe pf tt
kj_21615,13,pd nc qf pc qc qb oc pb od ob tt qh tt
kj_12110,12,pd qc pc qd pe rf tt ld qf qg qb rh
kj_90367,11,pc qe qg od pd pe oe of ne pg md
kj_03198,11,pd qc pc qd pe rf tt nc ld kd nd
kj_91543,8,pc qe od qh tt nc nd md
kj_78487,6,pd nc pf pj qj pi
kj_03097,16,pd qc pc qd pe rf qg qf pf pg qh ph pi oi pj oj
kj_41235,14,pd qc pc qd qf qe pe rf qg rg qh kd ke le
kj_34705,16,pd tt nc re qe rd qg qd pe pc oc pb rf tt rb rc
kj_39743,12,pc qe od tt qh pf oh nf ld rc id tt
kj_83970,10,pd qc pc qd pe rf qf rg ph qb
kj_12438,6,pc tt pe kd tt nc
kj_61889,14,pd qc pc qd qf qe pe rf qg rg qh tt ke kf
kj_72166,8,pc qe od qh tt kc pf qf
kj_59383,7,pd nc pf tt oc nd tt
kj_72626,14,pd qc pc qd pe qe qf rf tt qg pf qb tt ld
kj_59990,12,pc qe nd lc tt qc qb rc pf qf pg rh
kj_44153,8,pd nc lc qf pf pg of og
kj_26156,8,pc tt qe pf qf oc pd qj
kj_09562,14,pd nc qf tt lc pc qc qb rc od pb oc rb og
kj_61266,8,pd nc pf tt oc tt nd rf
kj_32783,8,pd tt nc md mc kd tt gd
kj_65955,6,pd tt nc mc nd md
kj_76181,13,pd qc pc qd qf qe pe rf qg rg qh le tt
kj_89633,13,pd nc lc qc pc qd pe pb ob qb nb qf ic
kj_64348,12,pd qc pc qd qf rf pe rg tt qb tt ph
kj_28656,6,pc tt pe pf qf tt
kj_33569,8,pc qe od tt qh qj pf qc
kj_57566,7,pd nc lc id tt ne pg
kj_77716,16,pd qc pc qd qe re rf qf pe rg rd sf rc tt og qj
kj_17649,13,pd nc qf pc qc qb oc pb od ob rc nd tt
kj_55217,6,pc qe od qh tt ql
kj_48186,6,pc tt pf kc tt qh
kj_39385,15,pd qc pc qd qf rf qg rg qh tt qe re pb qb tt
kj_17639,9,pd tt nc re qf rf qd qe qh
kj_44957,8,pd nc qg tt nd md ne pc
kj_32049,6,pc qe nd tt qi me
kj_10290,10,pc qe qd pe nd tt ph og oh mg
