定式ID,匹配步数,落子前缀
kj_43533,15,pc qe tt od oc nd mc md lc ld qd re tt kc kb
kj_56514,8,pc qe pg tt pe qd pd qg
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_13318,7,pd nc qf pb mc md lc
kj_82433,9,pc pe qe qf qd pf nc tt mf
kj_04844,7,pd nc qf tt kc hc oc
kj_87349,7,pc tt pe tt qh pi tt
kj_20474,7,pd nc lc tt qf tt ic
kj_01331,6,pd nc qf pb ld ne
kj_58401,6,pc tt qf kc mc tt
kj_53303,6,pc pe qe qf qd pg
kj_91137,6,pd nc lc tt hc tt
kj_16503,8,pc pe qg qc qb qd ob of
kj_23359,7,pd nc qf pb tt qc tt
kj_06402,6,pc pe tt qc tt qh
kj_32044,11,pd nc lc qf nd qc qd pc od oc rd
kj_77099,6,pd tt nc tt qe lc
kj_53302,11,pc pe qe qf qd pf nc tt ph mf nh
kj_66785,6,pd nc qf ne pi og
kj_37752,9,pc pe qe qf qd pf nc qj pk
kj_98558,6,pd nc qf pb qc kc
kj_97748,7,pd pc qc oc qb od pe
kj_26437,8,pd nc kd qf nd md ne pc
kj_20474,7,pd nc lc tt qf tt ic
kj_43533,15,pc qe tt od oc nd mc md lc ld qd re tt kc kb
kj_56514,8,pc qe pg tt pe qd pd qg
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_75941,9,pc tt qe pb ob oc od nc nb
kj_39547,8,pc pe tt qc qb qd nc rb
kj_51532,12,pd nc lc tt ic qc pc qd pe pb ob qb
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_98558,6,pd nc qf pb qc kc
kj_98558,6,pd nc qf pb qc kc
kj_94660,6,pc tt qe kc tt oc
kj_85629,7,pd nc qf tt jc tt oc
kj_45265,6,pd tt nc qi tt re
kj_42271,6,pc tt pe tt kc qg
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_59878,9,pd nc qf pc qc qb qd ob tt
kj_70337,8,pd nc nd md oc ne od mc
kj_98960,7,pd nc qf pb lc qc nd
kj_13318,7,pd nc qf pb mc md lc
kj_70870,7,pc qe ph od pd pe oe
kj_98558,6,pd nc qf pb qc kc
kj_09654,9,pc pe tt qc tt pb oc ob qd
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_92555,9,pc pe qe qf qd pf nc qj tt
kj_03715,7,pd nc qf pb qc kd tt
kj_93409,6,pd nc lc ne pf pb
kj_41157,6,pd nc lc ne qf kd
kj_98558,6,pd nc qf pb qc kc
kj_39717,6,pd nc qf pb qc ld
kj_39717,6,pd nc qf pb qc ld
kj_50511,10,pc pe qe qf qd pf nc pj tt ql
kj_53506,6,pd nc qf tt kc gc
kj_54125,6,pd nc qf pb lc qc
kj_57698,6,pc qe ph od oc nd
kj_43452,6,pc tt qe tt lc tt
kj_25847,10,pc pe qe qf qd pf nc pj pm tt
kj_33049,7,pc qe tt od pd pe oe
kj_91638,6,pd tt mc ke tt qf
kj_61433,7,pd tt nc qf tt rd kd
kj_23359,7,pd nc qf pb tt qc tt
kj_77452,7,pc pe oe qc pd qd of
kj_38162,10,pc qe qi nd od oe nc md mc ld
kj_07334,7,pd nc qf pb qc ld tt
kj_55500,8,pc qe od tt qh tt pf pk
kj_45723,6,pd nc qf pb qc ne
kj_30108,6,pd nc oc nd qf kc
kj_50880,15,pd nc lc qc qd pc od nd oc ob pb qb nb pa ne
kj_59940,10,pd nc qf qc pc pb ob qb oc re
kj_69852,8,pd nc qf qi tt pc qc qb
kj_53303,6,pc pe qe qf qd pg
kj_87997,7,pd nc qf tt oc nd kd
kj_80491,11,pd nc tt qf nd md ne qc oc qd mc
kj_46520,7,pd nc pf qh qj oh nf
kj_61806,6,pd nc qf tt kd tt
kj_06528,8,pd nc qg qc pc qd pe qe
kj_65474,8,qc pd pc od qd pf oc md
kj_82225,6,pd tt mc qc qd pc
kj_37251,15,pd qc pc qd qe re rf qf pe rg rd sf rc qj og
kj_45723,6,pd nc qf pb qc ne
kj_07334,7,pd nc qf pb qc ld tt
kj_52271,6,pd tt nc tt qg oi
kj_41157,6,pd nc lc ne qf kd
kj_03907,6,pc pe oe of od pg
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_56956,7,pc qe qi od oc nd mc
kj_32609,8,pc qe pg qg qh ph qi od
kj_65701,6,pc pe qe qf qd mf
kj_85769,8,pc pe qe qf qd tt pf qg
kj_30597,6,pd nc oc nd nb mb
kj_88783,12,pd nc qf pc qc qb oc pb od ob rc nd
kj_57214,6,pd nc lc tt ic tt
kj_14607,13,pd nc tt qc qd pc od nd ne me mf le nf
kj_48019,10,pd nc kd qf nd md ne oc pc me
kj_46094,9,pc pe qe qf qd pf nc qj pj
kj_75809,8,pd nc oc nd pf jc lc nb
kj_22290,7,pd tt nc qf qd md mc
kj_74715,6,pd tt nc tt qf tt
kj_48019,10,pd nc kd qf nd md ne oc pc me
kj_57643,6,pc pe qe qf qd pf
kj_39300,11,pd tt nc re qe rd rf qf qg pf rh
kj_70259,6,pc pe qe qf qd tt
kj_64152,6,pd nc qf pb lc ne
kj_43452,6,pc tt qe tt lc tt
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_53303,6,pc pe qe qf qd pg
kj_91920,13,pd tt mc qc qd pc oc ob nb od nc rd re
kj_20474,7,pd nc lc tt qf tt ic
kj_53080,16,pc pe qe pd qd oc pf qc pb rc ob nc rd qf rf qg
kj_71483,9,pc qe qi od oc nd nc md lc
kj_98558,6,pd nc qf pb qc kc
kj_24583,6,pd tt nc qh tt qd
kj_23359,7,pd nc qf pb tt qc tt
kj_52369,7,pd nc oc nd pf tt lf
kj_80647,8,pd tt nc re rd qe qd qi
kj_13318,7,pd nc qf pb mc md lc
kj_98558,6,pd nc qf pb qc kc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_75941,9,pc tt qe pb ob oc od nc nb
kj_92647,8,pc pe qe qf qd pf nc qj
kj_93524,6,pd nc qf pb tt qc
kj_61847,7,pd tt mc qc qd pc od
kj_70230,12,pd nc lc pf nd md mc qd ne qc oc ph
kj_22139,12,pd nc lc ne pf kd kc jd ld le jc id
kj_43777,6,pc tt pe tt qh oh
kj_02271,6,pd tt ld lc tt md
kj_42629,8,pd qc pc qd qe re qb rb
kj_92983,8,pd nc kd tt oc nd pf tt
kj_35273,7,pd nc qf tt kc ic tt
kj_39717,6,pd nc qf pb qc ld
kj_25097,14,pd nc qf pc qc qb oc pb od ob nd mc tt qi
kj_13318,7,pd nc qf pb mc md lc
kj_66897,12,pd nc tt qf nd md ne pc qc oc qd pg
kj_15351,6,pc tt pe mc ld lc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_39556,7,pd nc qf tt pb kd tt
kj_13928,8,pc tt pe mc tt qg qi qd
kj_88431,12,pc pe qe qf qd pf nc tt pj pl nj mf
kj_91319,7,pc pe tt qc qb qd ob
kj_65189,7,pd nc oc nd pf kc tt
kj_33633,8,pd nc oc nd pf tt jd kd
kj_04740,7,pc qe qd pe nc qi qg
kj_74844,13,pd nc pf qc pc pb ob qb oc re rf qe qf
kj_79003,8,pd nc tt qc qd pc od oc
kj_30007,7,pd nc kd ne pf kf id
kj_36929,6,pd nc qf kd tt pb
kj_88650,12,pc pe qe pd qd oc qc pf ob nc nb lc
kj_84862,10,pd nc lc qc pc qd pe pb ob qb
kj_13318,7,pd nc qf pb mc md lc
kj_53303,6,pc pe qe qf qd pg
kj_31766,8,pd tt nc rd qg qc pc rf
kj_36046,7,pd nc qf pb lc ne qc
kj_55485,10,pd nc tt qf nd md ne me oc mc
kj_27813,6,pc qe tt md od pg
kj_37920,7,pd nc ld ne pf pb qc
kj_70251,7,pc pe qe qf qd tt pf
kj_96310,6,pc tt qf tt mc jd
kj_75682,7,pc pe qe pd qd oc qf
kj_10001,6,pd nc oc nd pf kb
kj_64165,6,pc tt qf tt mc ke
kj_66671,7,pd nc tt lc oc nd pf
kj_96262,12,pc qe tt nd od oe nc md mc ld lc kd
kj_65472,10,pd nc lc pf nd qc qd pc od nb
kj_93524,6,pd nc qf pb tt qc
kj_93524,6,pd nc qf pb tt qc
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_89760,7,pd nc qf tt pb tt kc
kj_39717,6,pd nc qf pb qc ld
kj_40264,9,pd nc lc qf nd qc pc qd pe
kj_92647,8,pc pe qe qf qd pf nc qj
kj_85769,8,pc pe qe qf qd tt pf qg
kj_13510,9,pc qe tt od oc md nd ne nc
kj_77452,7,pc pe oe qc pd qd of
kj_57643,6,pc pe qe qf qd pf
